id,name,brand,category,concentration,size_ml,price,top_notes,middle_notes,base_notes,description,release_year,in_stock
PF122,Kilian Rolling in Love,Kilian,unisex,Eau de Parfum,50,275.00,Almond; Rose; Pink Pepper,Turkish Rose; Iris; Ambrette,Musk; Oud Assam; Cashmeran,A rose and almond romantic fragrance.,2019,true
PF123,Angels' Share,Kilian,unisex,Eau de Parfum,50,275.00,Cognac; Cinnamon,Oak; Praline,Tonka Bean; Sandalwood; Vanilla,A warm boozy cognac fragrance.,2020,true
PF124,Straight to Heaven,Kilian,unisex,Eau de Parfum,50,275.00,Rum; Apple,Cedar; Nutmeg; Mace,Dried Fruits; Musk; Patchouli; Sandalwood,A Caribbean rum dry-down fragrance.,2007,true
PF125,Initio Side Effect,Initio,unisex,Eau de Parfum,90,345.00,Rum Absolut; Cinnamon,Vanilla; Tobacco,Benzoin; Musk,An addictive boozy tobacco fragrance.,2018,true
PF126,Oud for Greatness,Initio,unisex,Eau de Parfum,90,365.00,Nutmeg; Saffron,Oud; Lavender,Musk; Patchouli; Agarwood,A powerful oud fragrance with lavender.,2018,true
PF127,Atomic Rose,Initio,unisex,Eau de Parfum,90,355.00,Rose; Bergamot; Lemon,Musk; Amberwood,Sandalwood; Amber; Cashmeran,An explosive rose fragrance.,2020,true
PF128,Amouage Reflection Man,Amouage,men,Eau de Parfum,100,395.00,Pink Pepper; Rosemary,Bitter Orange; Jasmine; Iris; Neroli,Sandalwood; Vetiver; Musk; Cedar,An elegant classic masculine fragrance.,2007,true
PF129,Amouage Interlude Man,Amouage,men,Eau de Parfum,100,420.00,Oregano; Pimento Berry; Bergamot,Frankincense; Labdanum; Amber,Oud; Cistus; Sandalwood; Leather,A smoky oriental incense fragrance.,2012,true
PF130,Amouage Memoir Woman,Amouage,women,Eau de Parfum,100,395.00,Wormwood; Mandarin; Pink Pepper,Incense; Turkish Rose; Jasmine,Guaiac Wood; Vetiver; Labdanum; Oud; Musk,A mysterious literary fragrance.,2010,true
PF131,Clive Christian No.1,Clive Christian,men,Parfum,50,895.00,Bergamot; Lime; Thyme; Celery; Cardamom,Ylang-Ylang; Jasmine; Heliotrope; Orchid; Orris; Carnation,Sandalwood; Cedar; Vanilla; Tonka Bean; Musk,The world's most expensive perfume.,2001,true
PF132,Xerjoff Naxos,Xerjoff,men,Eau de Parfum,100,345.00,Bergamot; Lavender; Lemon; Cinnamon,Honey; Tobacco; Cashmeran,Tonka Bean; Vanilla,A rich tobacco honey lavender fragrance.,2015,true
PF133,Xerjoff Erba Pura,Xerjoff,unisex,Eau de Parfum,100,285.00,Orange; Sicilian Lemon; Calabrian Bergamot,Fruits; White Flowers,Musk; Amber; Madagascar Vanilla,A luminous fruity floral fragrance.,2019,true
PF134,Widian Black V,Widian,unisex,Parfum,50,375.00,Rose; Saffron,Oud; Praline,Musk; Sandalwood; Amber,A luxurious Middle Eastern fragrance.,2015,true
PF135,Roja Elysium Pour Homme,Roja Parfums,men,Parfum,100,595.00,Grapefruit; Lemon; Bergamot; Lime,Lavender; Geranium; Violet Leaf,Vetiver; Cedar; Musk,A fresh sophisticated masculine fragrance.,2017,true
PF136,Roja Enigma,Roja Parfums,women,Parfum,100,595.00,Bergamot; Mandarin,Rose; Ylang-Ylang; Jasmine; Orris,Sandalwood; Oud; Amber; Musk,A mysterious floral oriental fragrance.,2012,true
PF137,Penhaligon's Halfeti,Penhaligon's,unisex,Eau de Parfum,100,295.00,Bergamot; Grapefruit; Saffron,Rose; Oud; Jasmine; Violet,Leather; Amber; Sandalwood; Tonka; Musk,A dark mysterious rose and oud fragrance.,2015,true
PF138,Penhaligon's Endymion,Penhaligon's,men,Eau de Parfum,100,245.00,Coffee; Lavender; Bergamot,Geranium; Sage,Incense; Musk; Vanilla; Cashmere Wood,A gentlemanly aromatic fragrance.,2003,true
PF139,Vilhelm Parfumerie Dear Polly,Vilhelm Parfumerie,unisex,Eau de Parfum,100,245.00,Tea; Apple; Black Currant,Peony; Wild Rose; Jasmine,Cedar; Sandalwood; Musk,A tea-inspired delicate fragrance.,2016,true
PF140,Vilhelm Parfumerie Mango Skin,Vilhelm Parfumerie,unisex,Eau de Parfum,100,245.00,Mango; Black Currant,Jasmine; Peach,Sandalwood; Musk,A juicy tropical mango fragrance.,2018,true
PF141,Bond No. 9 Bleecker Street,Bond No. 9,unisex,Eau de Parfum,100,345.00,Violet Leaves; Cassis,Jasmine; Tuberose; Gardenia,Musk; Cashmeran,A downtown cool violet fragrance.,2006,true
PF142,Bond No. 9 Governors Island,Bond No. 9,unisex,Eau de Parfum,100,345.00,Sea Spray; Basil,Jasmine; Lily,Vetiver; Seaweed,A coastal New York island fragrance.,2014,true
PF143,Diptyque Philosykos,Diptyque,unisex,Eau de Parfum,75,195.00,Fig Leaf; Green Notes,Fig Tree; Coconut,Fig Wood; Cedar,A Mediterranean fig tree fragrance.,1996,true
PF144,Diptyque Do Son,Diptyque,women,Eau de Parfum,75,195.00,Orange Leaves; Bergamot,Tuberose; Jasmine; Rose,Benzoin; Musk,A tuberose fragrance inspired by Vietnam.,2005,true
PF145,Diptyque Tam Dao,Diptyque,unisex,Eau de Parfum,75,195.00,Rosewood; Myrtle,Cypress; Sandalwood,Cedar; Spices; Amber,A pure sandalwood meditation.,2003,true
PF146,Histoires de Parfums 1826,Histoires de Parfums,women,Eau de Parfum,120,285.00,Musk; White Rose; Violet,Rose; Heliotrope; Jasmine,Sandalwood; Patchouli; White Musk,A romantic rose fragrance honoring Empress Eugenie.,2006,true
PF147,Serge Lutens La Fille de Berlin,Serge Lutens,unisex,Eau de Parfum,100,285.00,Rose; Red Berry,Rose,Incense; Musk,A deep thorny rose fragrance.,2013,true
PF148,Serge Lutens Fleurs d'Oranger,Serge Lutens,unisex,Eau de Parfum,100,285.00,Orange Blossom; Jasmine,Orange Blossom; White Flowers; Tuberose,Musk; Cumin; White Honey,An orange blossom honeyed fragrance.,2003,true
PF149,Atelier Cologne Orange Sanguine,Atelier Cologne,unisex,Cologne Absolue,100,175.00,Blood Orange; Bitter Orange; Red Mandarin,Jasmine; Geranium,Sandalwood; Tonka Bean; Amber,A citrus cologne burst.,2010,true
PF150,Atelier Cologne Vanille Insensée,Atelier Cologne,unisex,Cologne Absolue,100,175.00,Lime; Coriander; Lemon,Jasmine Sambac; Vanilla Absolute,Oak Moss; Gaiac Wood,A fresh unconventional vanilla.,2012,true
