id,title,author,genre,isbn,price,stock,published_year,publisher,pages,description,rating,review_count
179,Hell House,Richard Matheson,Horror,978-0312868857,16.99,18,1971,Tor Books,301,Investigators enter the most haunted house in the world.,4.3,28128
180,The Ritual,Adam Nevill,Horror,978-1250052131,17.99,20,2011,St. Martins Griffin,418,Four friends get lost in Scandinavian wilderness.,4.3,7431
181,Pride and Prejudice,Jane Austen,Romance,978-0141439518,12.99,60,1813,Penguin Classics,279,Elizabeth Bennet and Mr. Darcy clash and fall in love.,3.6,45386
182,Outlander,Diana Gabaldon,Romance,978-0440212560,18.99,45,1991,Dell,850,A nurse travels back in time to 18th century Scotland.,4.9,35855
183,The Notebook,Nicholas Sparks,Romance,978-1455582877,16.00,55,1996,Grand Central,214,An elderly man reads their love story to his wife.,3.6,24296
184,Beach Read,Emily Henry,Romance,978-1984806734,17.00,42,2020,Berkley,361,Two writers with opposite genres swap styles.,4.4,9805
185,People We Meet on Vacation,Emily Henry,Romance,978-1984806758,17.00,48,2021,Berkley,384,Best friends take annual vacations together.,4.1,2841
186,The Hating Game,Sally Thorne,Romance,978-0062439598,16.99,38,2016,William Morrow,384,Executive assistants compete for a promotion.,4.0,2714
187,Red White & Royal Blue,Casey McQuiston,Romance,978-1250316776,17.99,50,2019,St. Martins Griffin,432,The First Son falls for a British prince.,4.8,13867
188,The Love Hypothesis,Ali Hazelwood,Romance,978-0593336823,17.00,55,2021,Berkley,384,A fake dating scheme between scientists.,4.5,43808
189,It Ends with Us,Colleen Hoover,Romance,978-1501110368,16.99,65,2016,Atria Books,384,A woman must make an impossible choice.,3.7,36792
190,Verity,Colleen Hoover,Thriller,978-1791392796,17.99,58,2018,Grand Central,336,A writer discovers a disturbing manuscript.,4.8,26732
191,Ugly Love,Colleen Hoover,Romance,978-1476753188,16.99,45,2014,Atria Books,322,A no-strings relationship becomes complicated.,5.0,49217
192,The Spanish Love Deception,Elena Armas,Romance,978-1668002308,17.00,40,2021,Atria Books,432,A woman needs a fake date for a wedding.,3.7,15614
193,Book Lovers,Emily Henry,Romance,978-0593334836,17.00,52,2022,Berkley,373,A literary agent meets her nemesis in a small town.,4.8,11703
194,Happy Place,Emily Henry,Romance,978-0593441275,18.99,48,2023,Berkley,400,Exes pretend theyre still together on vacation.,4.8,1724
195,The Flatshare,Beth OLeary,Romance,978-1250295637,16.99,35,2019,Flatiron Books,352,Two strangers share an apartment in shifts.,3.8,21870
196,The Kiss Quotient,Helen Hoang,Romance,978-0451490803,16.00,32,2018,Berkley,336,A woman with autism hires an escort to teach her dating.,4.7,27082
197,In a Holidaze,Christina Lauren,Romance,978-1982163808,17.00,28,2020,Gallery Books,304,A woman gets a do-over of her holiday vacation.,4.7,48272
198,The Ex Hex,Erin Sterling,Romance,978-0063027473,16.99,30,2021,Avon,304,A witchs hex on her ex comes back to haunt them.,4.7,17585
199,A Court of Thorns and Roses,Sarah J. Maas,Fantasy,978-1635575569,18.99,60,2015,Bloomsbury,419,A huntress is taken to a faerie land.,3.7,46058
200,Fourth Wing,Rebecca Yarros,Fantasy,978-1649374042,19.99,70,2023,Entangled Red Tower,498,Dragon riders at a war college.,3.7,2637
201,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-Fiction,978-0062316110,24.99,55,2011,Harper,443,The history of humanity from the Stone Age.,4.8,14677
202,Educated,Tara Westover,Memoir,978-0399590504,18.00,60,2018,Random House,334,A woman escapes her survivalist family through education.,3.8,30266
203,Becoming,Michelle Obama,Memoir,978-1524763138,19.99,65,2018,Crown,448,The former First Ladys story.,4.0,15015
204,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-Fiction,978-1400052189,17.00,40,2010,Broadway Books,381,The woman whose cells changed medicine forever.,3.8,43355
205,Atomic Habits,James Clear,Self-Help,978-0735211292,27.00,80,2018,Avery,320,Small changes create remarkable results.,3.8,21612
206,Thinking Fast and Slow,Daniel Kahneman,Psychology,978-0374533557,18.00,45,2011,Farrar Straus Giroux,499,How we think and make decisions.,3.9,4649
207,The Body Keeps the Score,Bessel van der Kolk,Psychology,978-0143127741,19.00,50,2014,Penguin Books,464,How trauma affects the body and mind.,5.0,18392
208,Quiet,Susan Cain,Psychology,978-0307352156,18.00,38,2012,Broadway Books,352,The power of introverts in a noisy world.,4.0,33484
209,How to Win Friends and Influence People,Dale Carnegie,Self-Help,978-0671027032,17.99,55,1936,Gallery Books,288,The classic guide to social skills.,4.1,35241
210,The Subtle Art of Not Giving a Fck,Mark Manson,Self-Help,978-0062457714,26.00,62,2016,HarperOne,224,A counterintuitive approach to living a good life.,4.0,1908
211,Outliers,Malcolm Gladwell,Non-Fiction,978-0316017930,18.99,42,2008,Little Brown,309,What makes high achievers different.,3.7,17218
212,Blink,Malcolm Gladwell,Non-Fiction,978-0316010665,17.99,35,2005,Little Brown,296,The power of thinking without thinking.,3.8,17497
213,Freakonomics,Steven D. Levitt,Economics,978-0060731335,17.99,30,2005,William Morrow,315,The hidden side of everything.,3.6,39196
214,The Power of Habit,Charles Duhigg,Self-Help,978-0812981605,18.00,48,2012,Random House,371,Why we do what we do.,4.2,47845
215,Range,David Epstein,Non-Fiction,978-0735214484,18.00,32,2019,Riverhead Books,352,Why generalists triumph in a specialized world.,4.7,28699
216,A Short History of Nearly Everything,Bill Bryson,Science,978-0767908184,18.00,28,2003,Broadway Books,544,An accessible tour of science.,4.4,33616
217,The Gene,Siddhartha Mukherjee,Science,978-1476733524,20.00,25,2016,Scribner,594,An intimate history of the gene.,3.7,37887
218,Guns Germs and Steel,Jared Diamond,History,978-0393354324,18.95,35,1997,W. W. Norton,498,Why some civilizations conquered others.,3.8,3008
219,1491,Charles C. Mann,History,978-1400032051,18.00,22,2005,Vintage,541,The Americas before Columbus.,4.6,210
220,The Wright Brothers,David McCullough,Biography,978-1476728759,18.00,28,2015,Simon & Schuster,336,The story of aviation pioneers.,4.3,35387
221,Steve Jobs,Walter Isaacson,Biography,978-1451648539,19.99,45,2011,Simon & Schuster,656,The definitive biography of Apples cofounder.,4.5,48724
222,The Diary of a Young Girl,Anne Frank,Memoir,978-0553577129,7.99,70,1947,Bantam,283,A Jewish girls diary during WWII.,4.6,13012
223,Long Walk to Freedom,Nelson Mandela,Autobiography,978-0316548182,22.00,30,1994,Little Brown,656,Mandelas journey from prisoner to president.,4.0,4685
224,Born a Crime,Trevor Noah,Memoir,978-0399588198,18.00,55,2016,One World,304,Growing up in apartheid South Africa.,4.9,21739
225,When Breath Becomes Air,Paul Kalanithi,Memoir,978-0812988406,16.00,48,2016,Random House,228,A neurosurgeon faces terminal cancer.,4.4,43575
226,The Glass Castle,Jeannette Walls,Memoir,978-0743247542,18.00,52,2005,Scribner,288,A remarkable memoir of resilience.,4.8,47269
227,Wild,Cheryl Strayed,Memoir,978-0307476074,17.00,40,2012,Vintage,336,Hiking the Pacific Crest Trail after tragedy.,4.9,33334
228,Into the Wild,Jon Krakauer,Non-Fiction,978-0385486804,16.95,45,1996,Anchor,207,The true story of Chris McCandless.,4.0,26864
229,Into Thin Air,Jon Krakauer,Non-Fiction,978-0385494786,17.00,38,1997,Anchor,368,The 1996 Everest disaster.,4.0,45792
230,Unbroken,Laura Hillenbrand,Biography,978-0812974492,18.00,50,2010,Random House,473,An Olympic runners survival in WWII.,3.9,8441
231,The Boys in the Boat,Daniel James Brown,History,978-0143125471,18.00,35,2013,Penguin Books,404,American rowers at the 1936 Olympics.,3.8,43676
232,Hidden Figures,Margot Lee Shetterly,History,978-0062363602,16.99,42,2016,William Morrow,368,Black women mathematicians at NASA.,4.9,44488
233,The Code Breaker,Walter Isaacson,Biography,978-1982115852,35.00,28,2021,Simon & Schuster,560,Jennifer Doudna and the CRISPR revolution.,4.6,11505
234,Shoe Dog,Phil Knight,Memoir,978-1501135927,18.00,38,2016,Scribner,400,The Nike founders memoir.,4.4,19823
235,Bad Blood,John Carreyrou,Non-Fiction,978-0525431992,18.00,45,2018,Knopf,339,The Theranos scandal exposed.,4.1,126
236,The Innovators,Walter Isaacson,History,978-1476708706,20.00,30,2014,Simon & Schuster,560,How a group of hackers created the digital revolution.,4.0,13874
237,Elon Musk,Ashlee Vance,Biography,978-0062301253,18.99,40,2015,Ecco,400,The biography of the tech visionary.,4.1,38109
238,Alexander Hamilton,Ron Chernow,Biography,978-0143034759,20.00,25,2004,Penguin Books,818,The founding father who inspired the musical.,4.4,21218
239,Team of Rivals,Doris Kearns Goodwin,History,978-0743270755,22.00,22,2005,Simon & Schuster,916,Lincoln and his cabinet during the Civil War.,4.2,29077
240,The Rise of Theodore Roosevelt,Edmund Morris,Biography,978-0375756788,22.00,18,1979,Random House,920,The first volume of the definitive TR biography.,4.5,33600
241,The Hunger Games,Suzanne Collins,Young Adult,978-0439023528,14.99,75,2008,Scholastic,374,A girl fights for survival in a dystopian arena.,4.2,48331
242,Catching Fire,Suzanne Collins,Young Adult,978-0439023498,14.99,68,2009,Scholastic,391,The rebellion grows after the Games.,3.8,5657
243,Mockingjay,Suzanne Collins,Young Adult,978-0439023511,14.99,65,2010,Scholastic,390,The final battle against the Capitol.,3.9,43606
244,Divergent,Veronica Roth,Young Adult,978-0062024039,12.99,55,2011,Katherine Tegen Books,487,A society divided into factions.,4.4,22066
245,The Maze Runner,James Dashner,Young Adult,978-0385737951,12.99,50,2009,Delacorte Press,374,Boys trapped in a deadly maze.,3.6,49326
246,The Fault in Our Stars,John Green,Young Adult,978-0142424179,12.99,62,2012,Dutton Books,313,Two teens with cancer fall in love.,3.9,20443
247,Looking for Alaska,John Green,Young Adult,978-0142402511,12.99,45,2005,Dutton Books,221,A boy searches for meaning at boarding school.,3.8,13150
248,The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,978-1451696196,14.99,58,1999,Gallery Books,213,A shy freshman navigates high school.,3.7,3128
249,Twilight,Stephenie Meyer,Young Adult,978-0316015844,12.99,48,2005,Little Brown,498,A girl falls for a vampire.,3.9,31238
250,The Giver,Lois Lowry,Young Adult,978-0544336261,9.99,70,1993,HMH Books,240,A boy discovers the dark truth of his utopia.,4.4,4872
251,Enders Game,Orson Scott Card,Young Adult,978-0812550702,16.99,55,1985,Tor Books,324,A child genius trains to fight aliens.,4.2,41372
252,Percy Jackson and the Lightning Thief,Rick Riordan,Young Adult,978-0786838653,9.99,80,2005,Disney Hyperion,377,A boy discovers hes the son of Poseidon.,4.4,47177
253,The Book Thief,Markus Zusak,Young Adult,978-0375842207,14.99,65,2005,Knopf,552,A girl steals books in Nazi Germany.,4.5,32499
254,Six of Crows,Leigh Bardugo,Young Adult,978-1250076960,12.99,52,2015,Henry Holt,465,A heist crew in a fantasy world.,4.1,9771
255,Shadow and Bone,Leigh Bardugo,Young Adult,978-1250027436,11.99,48,2012,Henry Holt,358,A soldier discovers her magical power.,4.5,463
256,The Cruel Prince,Holly Black,Young Adult,978-0316310314,12.99,45,2018,Little Brown,370,A mortal girl among the faeries.,4.8,7085
257,Children of Virtue and Vengeance,Tomi Adeyemi,Young Adult,978-1250170996,19.99,38,2019,Henry Holt,448,The sequel to Children of Blood and Bone.,4.7,14441
258,We Were Liars,E. Lockhart,Young Adult,978-0385741262,12.99,42,2014,Delacorte Press,227,A wealthy family with dark secrets.,3.8,45707
259,All the Bright Places,Jennifer Niven,Young Adult,978-0385755917,12.99,40,2015,Knopf,388,Two teens struggle with mental health.,4.3,3391
260,Eleanor & Park,Rainbow Rowell,Young Adult,978-1250012579,11.99,55,2013,St. Martins Griffin,328,Misfits fall in love on the school bus.,4.3,8053
261,Goodnight Moon,Margaret Wise Brown,Childrens,978-0694003617,8.99,90,1947,HarperFestival,32,A bunny says goodnight to everything.,4.2,30550
262,Where the Wild Things Are,Maurice Sendak,Childrens,978-0064431781,18.99,75,1963,HarperCollins,48,Max visits the land of wild things.,4.5,36729
263,The Very Hungry Caterpillar,Eric Carle,Childrens,978-0399226908,7.99,95,1969,Philomel Books,26,A caterpillar eats through the week.,4.4,49596
264,Green Eggs and Ham,Dr. Seuss,Childrens,978-0394800165,9.99,85,1960,Random House,62,Sam-I-Am persists with his offer.,4.8,40250
265,The Cat in the Hat,Dr. Seuss,Childrens,978-0394800011,9.99,88,1957,Random House,61,A cat creates chaos on a rainy day.,4.7,33181
266,Charlotte's Web,E.B. White,Childrens,978-0061124952,8.99,72,1952,HarperCollins,184,A spider saves a pig from slaughter.,4.1,36005
267,Matilda,Roald Dahl,Childrens,978-0142410370,8.99,65,1988,Puffin Books,240,A genius girl with telekinetic powers.,4.2,10530
268,Charlie and the Chocolate Factory,Roald Dahl,Childrens,978-0142410318,8.99,70,1964,Puffin Books,176,A boy wins a tour of a magical factory.,4.6,31208
269,Harry Potter and the Sorcerers Stone,J.K. Rowling,Childrens,978-0590353427,12.99,100,1997,Scholastic,309,A boy discovers hes a wizard.,4.2,49368
270,Harry Potter and the Chamber of Secrets,J.K. Rowling,Childrens,978-0439064873,12.99,95,1998,Scholastic,341,Harry returns to Hogwarts for year two.,3.9,41889
271,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Childrens,978-0439136365,12.99,92,1999,Scholastic,435,An escaped prisoner threatens Harry.,3.9,34263
272,Harry Potter and the Goblet of Fire,J.K. Rowling,Childrens,978-0439139601,14.99,88,2000,Scholastic,734,Harry enters the Triwizard Tournament.,4.2,15779
273,Harry Potter and the Order of the Phoenix,J.K. Rowling,Childrens,978-0439358071,14.99,85,2003,Scholastic,870,Harry forms Dumbledores Army.,3.9,5177
274,Harry Potter and the Half-Blood Prince,J.K. Rowling,Childrens,978-0439785969,14.99,82,2005,Scholastic,652,Harry learns Voldemorts secret.,4.6,15467
275,Harry Potter and the Deathly Hallows,J.K. Rowling,Childrens,978-0545139700,14.99,80,2007,Scholastic,759,The final battle against Voldemort.,3.9,21052
276,The Lion the Witch and the Wardrobe,C.S. Lewis,Childrens,978-0064404990,9.99,68,1950,HarperCollins,208,Children discover a magical world through a wardrobe.,4.8,5380
277,A Wrinkle in Time,Madeleine LEngle,Childrens,978-0312367541,8.99,55,1962,Square Fish,256,A girl travels through space and time to save her father.,3.7,15255
278,The Phantom Tollbooth,Norton Juster,Childrens,978-0394820378,8.99,45,1961,Random House,272,A boy drives through a magical tollbooth.,4.1,10114
279,James and the Giant Peach,Roald Dahl,Childrens,978-0142410363,8.99,58,1961,Puffin Books,160,A boy travels in a giant fruit.,4.6,4309
280,The BFG,Roald Dahl,Childrens,978-0142410387,8.99,52,1982,Puffin Books,224,A girl befriends a big friendly giant.,4.1,21784
281,The Design of Everyday Things,Don Norman,Design,978-0465050659,17.99,32,1988,Basic Books,368,How design affects our daily lives.,4.3,27348
282,Dont Make Me Think,Steve Krug,Design,978-0321965516,45.00,25,2000,New Riders,216,Web usability fundamentals.,3.6,27634
283,Hooked,Nir Eyal,Business,978-1591847786,26.00,35,2014,Portfolio,256,How to build habit-forming products.,4.1,38378
284,Zero to One,Peter Thiel,Business,978-0804139298,27.00,42,2014,Crown Business,224,Notes on startups and building the future.,4.9,1380
285,The Lean Startup,Eric Ries,Business,978-0307887894,28.00,48,2011,Crown Business,336,Build measure learn.,4.8,37828
286,Good to Great,Jim Collins,Business,978-0066620992,29.99,40,2001,Harper Business,320,Why some companies make the leap.,4.1,486
287,Start with Why,Simon Sinek,Business,978-1591846444,17.00,45,2009,Portfolio,256,How great leaders inspire action.,4.9,19669
288,The Hard Thing About Hard Things,Ben Horowitz,Business,978-0062273208,29.99,35,2014,Harper Business,304,Building a business when there are no easy answers.,4.6,27560
289,Creativity Inc.,Ed Catmull,Business,978-0812993011,17.00,30,2014,Random House,368,The story of Pixar and fostering creativity.,4.3,48244
290,Principles,Ray Dalio,Business,978-1501124020,30.00,38,2017,Simon & Schuster,592,Life and work principles from Bridgewater founder.,4.3,39634
291,The 4-Hour Workweek,Tim Ferriss,Self-Help,978-0307465351,17.00,52,2007,Harmony,416,Escape the 9-5 and live anywhere.,4.8,32096
292,Deep Work,Cal Newport,Self-Help,978-1455586691,28.00,45,2016,Grand Central,296,Rules for focused success in a distracted world.,3.8,28662
293,Digital Minimalism,Cal Newport,Self-Help,978-0525536512,27.00,38,2019,Portfolio,304,Choosing a focused life in a noisy world.,4.2,25584
294,Essentialism,Greg McKeown,Self-Help,978-0804137386,27.00,42,2014,Crown Business,272,The disciplined pursuit of less.,4.0,44608
295,The War of Art,Steven Pressfield,Self-Help,978-1936891023,16.00,35,2002,Black Irish Entertainment,168,Break through creative blocks.,4.7,47559
296,Mans Search for Meaning,Viktor E. Frankl,Philosophy,978-0807014295,15.00,58,1946,Beacon Press,184,Finding purpose in suffering.,3.7,30730
297,Meditations,Marcus Aurelius,Philosophy,978-0140449334,14.00,45,180,Penguin Classics,256,Stoic wisdom from a Roman emperor.,4.9,40880
298,The Alchemist,Paulo Coelho,Philosophy,978-0062315007,16.99,65,1988,HarperOne,208,A shepherd seeks his personal legend.,4.3,25922
299,Siddhartha,Hermann Hesse,Philosophy,978-0553208849,7.99,40,1922,Bantam Classics,152,A spiritual journey in ancient India.,4.4,43550
300,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Philosophy,978-0060839871,17.99,32,1974,William Morrow,540,An inquiry into values.,3.5,42223
301,Clean Code,Robert C. Martin,Technology,978-0132350884,49.99,45,2008,Prentice Hall,464,A handbook of agile software craftsmanship.,4.1,30357
302,The Pragmatic Programmer,David Thomas,Technology,978-0135957059,59.99,40,1999,Addison-Wesley,352,From journeyman to master.,3.8,17149
303,Design Patterns,Gang of Four,Technology,978-0201633610,59.99,28,1994,Addison-Wesley,416,Elements of reusable object-oriented software.,4.1,13971
304,Introduction to Algorithms,Thomas H. Cormen,Technology,978-0262033848,89.99,22,1990,MIT Press,1312,The comprehensive algorithms textbook.,4.2,22218
305,Structure and Interpretation of Computer Programs,Harold Abelson,Technology,978-0262510875,55.00,18,1984,MIT Press,657,The wizard book of programming.,4.6,24946
306,Code Complete,Steve McConnell,Technology,978-0735619678,49.99,32,1993,Microsoft Press,960,A practical handbook of software construction.,3.9,27727
307,The Mythical Man-Month,Frederick P. Brooks Jr.,Technology,978-0201835953,34.99,25,1975,Addison-Wesley,336,Essays on software engineering.,3.9,5467
308,Cracking the Coding Interview,Gayle Laakmann McDowell,Technology,978-0984782857,39.95,55,2008,CareerCup,687,189 programming questions and solutions.,4.2,49188
309,You Dont Know JS: Scope & Closures,Kyle Simpson,Technology,978-1491904152,24.99,35,2014,OReilly Media,98,Deep dive into JavaScript.,4.3,23035
310,Eloquent JavaScript,Marijn Haverbeke,Technology,978-1593279509,39.95,42,2011,No Starch Press,472,A modern introduction to programming.,3.8,4596
311,JavaScript: The Good Parts,Douglas Crockford,Technology,978-0596517748,29.99,30,2008,OReilly Media,176,Unearthing the excellence in JavaScript.,4.7,42813
312,Learning Python,Mark Lutz,Technology,978-1449355739,64.99,38,1999,OReilly Media,1648,Comprehensive Python guide.,3.6,2133
313,Python Crash Course,Eric Matthes,Technology,978-1593279288,39.95,52,2015,No Starch Press,544,A hands-on project-based introduction.,4.9,13165
314,Automate the Boring Stuff with Python,Al Sweigart,Technology,978-1593279929,39.95,48,2015,No Starch Press,592,Practical programming for total beginners.,4.8,40819
315,Fluent Python,Luciano Ramalho,Technology,978-1492056355,69.99,28,2015,OReilly Media,792,Clear concise and effective programming.,3.7,8372
316,Effective Java,Joshua Bloch,Technology,978-0134685991,54.99,35,2001,Addison-Wesley,416,Best practices for Java programming.,4.2,7596
317,Head First Design Patterns,Eric Freeman,Technology,978-0596007126,59.99,40,2004,OReilly Media,694,A brain-friendly guide to design patterns.,4.3,14384
318,The Art of Computer Programming Vol 1,Donald Knuth,Technology,978-0201896831,79.99,15,1968,Addison-Wesley,672,The bible of fundamental algorithms.,4.2,16893
319,Refactoring,Martin Fowler,Technology,978-0134757599,54.99,32,1999,Addison-Wesley,448,Improving the design of existing code.,4.7,11096
320,Domain-Driven Design,Eric Evans,Technology,978-0321125217,69.99,22,2003,Addison-Wesley,560,Tackling complexity in software.,4.4,49116
321,The Joy of Cooking,Irma S. Rombauer,Cooking,978-1501169717,40.00,55,1931,Scribner,1200,The essential American cookbook.,4.6,10832
322,Salt Fat Acid Heat,Samin Nosrat,Cooking,978-1476753836,35.00,48,2017,Simon & Schuster,480,Mastering the elements of good cooking.,4.9,7184
323,The Food Lab,J. Kenji Lopez-Alt,Cooking,978-0393081084,49.95,42,2015,W. W. Norton,960,Better home cooking through science.,4.4,20544
324,On Food and Cooking,Harold McGee,Cooking,978-0684800011,45.00,28,1984,Scribner,896,The science and lore of the kitchen.,4.4,24696
325,Mastering the Art of French Cooking,Julia Child,Cooking,978-0375413407,40.00,35,1961,Knopf,752,The classic French cookbook.,4.1,46959
326,Jerusalem,Yotam Ottolenghi,Cooking,978-1607743941,35.00,38,2012,Ten Speed Press,320,A cookbook celebrating the city.,3.8,38903
327,Plenty,Yotam Ottolenghi,Cooking,978-1452101248,35.00,32,2010,Chronicle Books,288,Vibrant vegetable recipes.,4.5,41206
328,The Flavor Bible,Karen Page,Cooking,978-0316118408,40.00,25,2008,Little Brown,392,The essential guide to culinary creativity.,3.9,45791
329,Kitchen Confidential,Anthony Bourdain,Cooking,978-0060899226,17.99,45,2000,Ecco,312,Adventures in the culinary underbelly.,4.7,44943
330,Flour Water Salt Yeast,Ken Forkish,Cooking,978-1607742739,35.00,40,2012,Ten Speed Press,272,The fundamentals of artisan bread and pizza.,4.4,8033
331,The Smitten Kitchen Cookbook,Deb Perelman,Cooking,978-0307595652,35.00,42,2012,Knopf,320,Recipes from the beloved blog.,4.7,37188
332,Half Baked Harvest Super Simple,Tieghan Gerard,Cooking,978-0525577072,29.99,38,2019,Clarkson Potter,304,More than 125 recipes for instant comfort.,4.7,22854
333,Dessert Person,Claire Saffitz,Cooking,978-1984826923,35.00,50,2020,Clarkson Potter,352,Recipes and guidance for baking with confidence.,4.3,43453
334,My Paris Kitchen,David Lebovitz,Cooking,978-1607742678,35.00,28,2014,Ten Speed Press,344,Recipes and stories from Paris.,4.1,33258
335,Ratio,Michael Ruhlman,Cooking,978-1416571728,18.00,22,2009,Scribner,272,The simple codes behind culinary craft.,4.5,929
336,Running on Empty,Marshall Ulrich,Sports,978-1583334904,16.00,18,2011,Avery,320,An ultramarathoners journey across America.,4.8,32225
337,Born to Run,Christopher McDougall,Sports,978-0307279187,17.00,55,2009,Vintage,304,A hidden tribe and the secrets of running.,3.7,23836
338,Open,Andre Agassi,Sports,978-0307388407,18.00,42,2009,Vintage,400,The tennis legends revealing autobiography.,4.5,30229
339,The Boys of Summer,Roger Kahn,Sports,978-0060883966,16.99,25,1972,Harper Perennial,442,The Brooklyn Dodgers and the American dream.,4.6,28640
340,Moneyball,Michael Lewis,Sports,978-0393324815,16.95,48,2003,W. W. Norton,317,The art of winning an unfair game.,3.8,34293
341,Watchmen,Alan Moore,Graphic Novel,978-1401245252,24.99,45,1986,DC Comics,416,A deconstruction of the superhero genre.,4.9,17800
342,Maus,Art Spiegelman,Graphic Novel,978-0679406419,35.00,38,1991,Pantheon,296,A Holocaust survivors story told with mice and cats.,4.4,35369
343,Persepolis,Marjane Satrapi,Graphic Novel,978-0375714832,14.95,42,2000,Pantheon,160,Growing up in Iran during the revolution.,4.7,30565
344,Saga Volume 1,Brian K. Vaughan,Graphic Novel,978-1607066019,9.99,55,2012,Image Comics,160,Star-crossed lovers from warring planets.,4.2,48008
345,Sandman Volume 1,Neil Gaiman,Graphic Novel,978-1401284770,19.99,48,1989,DC Comics,240,The Lord of Dreams escapes captivity.,4.4,21222
346,V for Vendetta,Alan Moore,Graphic Novel,978-1401208417,19.99,40,1988,DC Comics,296,A masked anarchist fights totalitarianism.,4.8,5779
347,Batman: The Dark Knight Returns,Frank Miller,Graphic Novel,978-1563893421,19.99,52,1986,DC Comics,224,An aging Batman comes out of retirement.,3.9,29643
348,Fun Home,Alison Bechdel,Graphic Novel,978-0618871711,16.00,35,2006,Mariner Books,232,A family tragicomic memoir.,3.9,30555
349,The Walking Dead Compendium One,Robert Kirkman,Graphic Novel,978-1607060765,59.99,32,2009,Image Comics,1088,The zombie apocalypse begins.,4.4,43890
350,Y: The Last Man Volume 1,Brian K. Vaughan,Graphic Novel,978-1563899805,14.99,28,2002,DC Comics,128,The last man alive in a world of women.,4.1,1980
351,Milk and Honey,Rupi Kaur,Poetry,978-1449474256,14.99,70,2014,Andrews McMeel,208,Poetry about survival and healing.,4.2,21400
352,The Sun and Her Flowers,Rupi Kaur,Poetry,978-1449486792,16.99,62,2017,Andrews McMeel,256,Poetry about growth and ancestry.,3.8,14001
353,Where the Sidewalk Ends,Shel Silverstein,Poetry,978-0060256678,19.99,75,1974,HarperCollins,176,Poems and drawings for children.,4.0,17031
354,The Waste Land,T.S. Eliot,Poetry,978-0156948777,15.00,25,1922,Harvest Books,96,A modernist masterpiece.,4.0,39169
355,Leaves of Grass,Walt Whitman,Poetry,978-0486456768,6.00,35,1855,Dover Publications,400,Americas essential poetry collection.,4.6,18205
356,Selected Poems,Emily Dickinson,Poetry,978-0486264660,4.00,40,1890,Dover Publications,96,Timeless American verse.,4.3,33957
357,The Odyssey,Homer,Poetry,978-0140268867,17.00,45,800,Penguin Classics,560,The epic journey home from Troy.,4.9,5710
358,The Iliad,Homer,Poetry,978-0140275360,18.00,40,750,Penguin Classics,704,The rage of Achilles and the Trojan War.,3.9,26735
359,Beowulf,Anonymous,Poetry,978-0393320978,15.95,32,1000,W. W. Norton,288,The Old English epic of a hero.,4.2,49787
360,Paradise Lost,John Milton,Poetry,978-0140424393,14.00,28,1667,Penguin Classics,453,The fall of man and Satan.,3.9,31301
361,The Catcher in the Rye,J.D. Salinger,Classic,978-0316769488,9.99,65,1951,Little Brown,277,A teenagers alienation in New York City.,4.5,32266
362,To Kill a Mockingbird,Harper Lee,Classic,978-0060935467,16.99,72,1960,Harper Perennial,336,A lawyers defense of a Black man in Alabama.,4.2,1230
363,1984,George Orwell,Classic,978-0451524935,9.99,78,1949,Signet Classics,328,A dystopia of totalitarian control.,3.6,14622
364,Animal Farm,George Orwell,Classic,978-0451526342,9.99,70,1945,Signet Classics,144,A political fable about revolution corrupted.,4.1,16045
365,Brave New World,Aldous Huxley,Classic,978-0060850524,16.99,58,1932,Harper Perennial,288,A society controlled by pleasure.,4.0,38212
366,Fahrenheit 451,Ray Bradbury,Classic,978-1451673319,16.99,62,1953,Simon & Schuster,249,A world where books are burned.,4.1,36372
367,The Great Gatsby,F. Scott Fitzgerald,Classic,978-0743273565,17.00,68,1925,Scribner,180,The American Dream in the Jazz Age.,4.3,27985
368,Of Mice and Men,John Steinbeck,Classic,978-0140186420,9.00,55,1937,Penguin Books,107,Two displaced workers during the Depression.,5.0,36170
369,The Grapes of Wrath,John Steinbeck,Classic,978-0143039433,18.00,42,1939,Penguin Classics,464,A family flees the Dust Bowl.,4.0,46162
370,East of Eden,John Steinbeck,Classic,978-0142004234,18.00,38,1952,Penguin Books,608,A multigenerational saga in California.,4.2,20194
371,One Hundred Years of Solitude,Gabriel Garcia Marquez,Classic,978-0060883287,17.99,45,1967,Harper Perennial,417,A family and a town across generations.,3.9,8007
372,Crime and Punishment,Fyodor Dostoevsky,Classic,978-0143058144,17.00,35,1866,Penguin Classics,671,A students moral struggle after murder.,4.6,20779
373,The Brothers Karamazov,Fyodor Dostoevsky,Classic,978-0374528379,18.00,28,1880,FSG Classics,796,Four brothers and their fathers murder.,3.7,35218
374,War and Peace,Leo Tolstoy,Classic,978-0140447934,20.00,25,1869,Penguin Classics,1392,Russia during the Napoleonic Wars.,4.9,45330
375,Anna Karenina,Leo Tolstoy,Classic,978-0143035008,18.00,32,1877,Penguin Classics,838,An aristocrats tragic affair.,3.8,14280
