id,name,brand,category,pet_type,price,description,weight_lbs,size,in_stock,stock_quantity
BRD010,Volkman Avian Science Cockatiel,Volkman,Food,Birds,11.99,Seed blend for cockatiels,4,,1,32
BRD011,Zupreem Natural Pellets Large,Zupreem,Food,Birds,24.99,Natural pellets for large parrots,3,,1,25
BRD012,Kaytee Fiesta Max Parrot,Kaytee,Food,Birds,19.99,Variety seed mix for parrots,4.5,,1,28
BRD013,Goldenfeast Australian Blend,Goldenfeast,Food,Birds,34.99,Premium seed mix for parakeets,3,,1,18
BRD014,TOPS Organic Pellets Parrot,TOPS,Food,Birds,29.99,USDA organic pellets,3,,1,22
BRD015,Higgins InTune Natural Cockatiel,Higgins,Food,Birds,16.99,Pellet and seed blend,3,,1,30
BRD016,Prevue Hendryx Flight Cage,Prevue,Beds,Birds,149.99,Large flight cage 31x21x52,35,,1,8
BRD017,Vision Bird Cage Model M02,Vision,Beds,Birds,119.99,Medium wire bird cage,15,,1,12
BRD018,A&E Cage Co. Victorian Top,A&E Cage,Beds,Birds,299.99,Ornate Victorian style cage,45,,1,5
BRD019,Kings Cages Superior Line,Kings Cages,Beds,Birds,449.99,Large parrot cage powder coated,65,,1,4
BRD020,Yaheetech Rolling Bird Cage,Yaheetech,Beds,Birds,89.99,Rolling cage with play top,25,,1,15
BRD021,Penn-Plax Bird Life Activity Center,Penn-Plax,Toys,Birds,24.99,Tabletop play gym,3,,1,25
BRD022,Super Bird Creations Preen Me,Super Bird,Toys,Birds,12.99,Preening chew toy,0.5,,1,35
BRD023,Planet Pleasures Spiked Pinata,Planet Pleasures,Toys,Birds,14.99,Shreddable foraging toy,0.75,,1,30
BRD024,Bonka Bird Toys Foraging Star,Bonka Bird,Toys,Birds,9.99,Paper foraging toy,0.25,,1,45
BRD025,A&E Cage Co. Java Wood Tree,A&E Cage,Toys,Birds,59.99,Natural java wood play stand,8,,1,15
BRD026,Living World Wooden Ladder,Living World,Toys,Birds,7.99,Natural wood climbing ladder,0.25,,1,55
BRD027,JW Pet Comfy Perch,JW Pet,Accessories,Birds,11.99,Flexible rope perch,0.5,,1,40
BRD028,Polly's Pet Products Shower Perch,Polly's,Accessories,Birds,19.99,Suction cup shower perch,0.5,,1,30
BRD029,Sweet Feet and Beak Comfort Perch,Sweet Feet,Accessories,Birds,24.99,Therapeutic textured perch,0.5,,1,28
BRD030,Zoo Med ReptiSafe Water Conditioner,Zoo Med,Health,Birds,6.99,Water conditioner for birds,0.5,4.25oz,1,50
FSH007,API Stress Coat Water Conditioner,API,Health,Fish,9.99,Water conditioner with aloe,0.5,16oz,1,45
FSH008,Seachem Prime Water Conditioner,Seachem,Health,Fish,14.99,Concentrated dechlorinator,0.5,500ml,1,40
FSH009,Fluval Plant and Shrimp Stratum,Fluval,Health,Fish,24.99,Volcanic soil substrate,8,8.8lb,1,25
FSH010,CaribSea Eco-Complete Planted,CaribSea,Health,Fish,29.99,Complete planted substrate,20,20lb,1,20
FSH011,Fluval 407 Performance Canister,Fluval,Health,Fish,299.99,Canister filter up to 100 gallons,15,,1,8
FSH012,Aqueon QuietFlow LED Pro,Aqueon,Health,Fish,44.99,Power filter 50-90 gallons,3,,1,25
FSH013,EHEIM Classic External Filter,EHEIM,Health,Fish,149.99,German-made canister filter,10,,1,12
FSH014,Tetra HT Submersible Heater,Tetra,Health,Fish,19.99,100W preset heater,1,,1,40
FSH015,Fluval E Series Heater,Fluval,Health,Fish,49.99,LCD temperature display heater,1,,1,28
FSH016,Finnex Planted+ 24/7 LED,Finnex,Health,Fish,119.99,Programmable aquarium LED light,3,,1,15
FSH017,Fluval Plant 3.0 LED,Fluval,Health,Fish,149.99,Bluetooth programmable plant light,4,,1,12
FSH018,Tetra Goldfish Flakes,Tetra,Food,Fish,6.99,Premium flakes for goldfish,0.5,7.06oz,1,55
FSH019,New Life Spectrum Thera-A,New Life Spectrum,Food,Fish,19.99,Premium sinking pellets,0.5,250g,1,30
FSH020,Hikari Sinking Wafers,Hikari,Food,Fish,8.99,Algae wafers for bottom feeders,0.25,1.76oz,1,45
FSH021,Fluval Bug Bites Tropical,Fluval,Food,Fish,9.99,Insect larvae based food,0.5,1.6oz,1,40
FSH022,Omega One Freeze Dried Bloodworms,Omega One,Food,Fish,11.99,Freeze-dried bloodworm treats,0.25,0.96oz,1,38
FSH023,Marina 20G LED Aquarium Kit,Marina,Beds,Fish,159.99,Complete 20-gallon kit,45,,1,8
FSH024,Fluval Flex 32.5 Gallon Kit,Fluval,Beds,Fish,249.99,Curved glass aquarium kit,55,,1,6
FSH025,Aqueon Standard Glass Aquarium,Aqueon,Beds,Fish,49.99,29-gallon tank only,35,,1,15
FSH026,Penn-Plax Cascade 1000 Filter,Penn-Plax,Health,Fish,79.99,Canister filter up to 100 gallons,8,,1,18
FSH027,Aquarium Co-Op Easy Planter,Aquarium Co-Op,Accessories,Fish,12.99,Weighted plant anchor,0.25,,1,45
FSH028,API Aquarium Salt,API,Health,Fish,8.99,Freshwater aquarium salt,4,65oz,1,40
FSH029,Seachem Flourish Excel,Seachem,Health,Fish,14.99,Liquid carbon for plants,1,500ml,1,35
FSH030,Marina Betta EZ Care Aquarium,Marina,Beds,Fish,24.99,Self-cleaning betta tank,2,,1,30
SML008,Kaytee Clean & Cozy Bedding,Kaytee,Health,Small Animals,14.99,50L soft paper bedding,3,,1,35
SML009,Oxbow Orchard Grass Hay,Oxbow,Food,Small Animals,12.99,Premium orchard grass,0.94,15oz,1,40
SML010,Higgins Sunburst Gourmet Hamster,Higgins,Food,Small Animals,9.99,Seed mix for hamsters,2.5,,1,45
SML011,Supreme Selective Rabbit,Supreme,Food,Small Animals,14.99,High fiber pellets for rabbits,4,,1,35
SML012,Oxbow Garden Select Adult Rabbit,Oxbow,Food,Small Animals,19.99,Garden-inspired rabbit food,4,,1,30
SML013,Kaytee Forti-Diet Pro Guinea Pig,Kaytee,Food,Small Animals,12.99,Vitamin C fortified food,5,,1,38
SML014,Vitakraft Menu Hamster Food,Vitakraft,Food,Small Animals,7.99,Grain and seed mix,2.5,,1,48
SML015,Brown's Tropical Carnival Rabbit,Brown's,Food,Small Animals,11.99,Gourmet food blend,5,,1,35
SML016,Ware Manufacturing Chew Proof Bottle,Ware,Accessories,Small Animals,8.99,Glass water bottle,0.5,,1,50
SML017,Lixit Critter Brites Bottle,Lixit,Accessories,Small Animals,6.99,Colorful water bottle,0.25,,1,55
SML018,Kaytee Comfort Exercise Wheel,Kaytee,Toys,Small Animals,14.99,Quiet solid surface wheel,1,Large,1,35
SML019,Niteangel Super Silent Wheel,Niteangel,Toys,Small Animals,24.99,Premium silent spinner,1.5,,1,28
SML020,Living World Teach N Treat,Living World,Toys,Small Animals,9.99,Interactive puzzle toy,0.5,,1,42
SML021,Kaytee Crinkle Tunnel,Kaytee,Toys,Small Animals,7.99,Crinkle paper play tunnel,0.25,,1,50
SML022,Oxbow Enriched Life Play Wall,Oxbow,Toys,Small Animals,12.99,Wooden activity wall,1,,1,35
SML023,Ware Manufacturing Flying Saucer,Ware,Toys,Small Animals,9.99,Slanted running wheel,0.75,,1,40
SML024,Kaytee CritterTrail 2-Level,Kaytee,Beds,Small Animals,44.99,Multi-level hamster habitat,5,,1,20
SML025,Prevue Hendryx 528 Universal,Prevue,Beds,Small Animals,99.99,Large small animal cage,25,,1,12
SML026,Ferplast Favola Hamster Cage,Ferplast,Beds,Small Animals,59.99,Wire cage with accessories,6,,1,18
SML027,Midwest Guinea Habitat Plus,Midwest,Beds,Small Animals,54.99,Spacious guinea pig home,15,,1,15
SML028,Living World Deluxe Habitat,Living World,Beds,Small Animals,79.99,Large rabbit habitat,20,,1,12
SML029,Critter Nation Double Unit,Critter Nation,Beds,Small Animals,269.99,Double story ferret cage,55,,1,6
SML030,Kaytee My First Home Multi-Level,Kaytee,Beds,Small Animals,129.99,Multi-level ferret habitat,35,,1,8
SML031,Small Pet Select Timothy Hay,Small Pet Select,Food,Small Animals,34.99,Premium 2nd cutting hay,10,,1,25
SML032,Oxbow Simple Rewards Treats,Oxbow,Food,Small Animals,5.99,Baked hay treats,0.25,3oz,1,55
SML033,Vitakraft Crunch Sticks,Vitakraft,Food,Small Animals,4.99,Honey flavor treat sticks,0.25,,1,60
SML034,Kaytee Timothy Biscuits,Kaytee,Food,Small Animals,6.99,Baked timothy hay biscuits,0.5,,1,50
SML035,Oxbow Natural Science Vitamin C,Oxbow,Health,Small Animals,9.99,Vitamin C supplement,0.25,60ct,1,40
SML036,Kaytee Forti-Diet Vita-Sol,Kaytee,Health,Small Animals,6.99,Liquid vitamin supplement,0.25,4oz,1,45
SML037,Marshall Pet Ferret Lax,Marshall,Health,Small Animals,7.99,Hairball remedy paste,0.25,3oz,1,42
SML038,Kaytee Small Animal Nail Clipper,Kaytee,Grooming,Small Animals,5.99,Safe nail trimmer,0.1,,1,55
SML039,Ware Manufacturing Grooming Kit,Ware,Grooming,Small Animals,12.99,Complete grooming set,0.5,,1,35
SML040,Marshall Pet Ferret Shampoo,Marshall,Grooming,Small Animals,8.99,Tearless ferret shampoo,0.5,8oz,1,40
RPT001,Zoo Med ReptiSun 10.0 UVB,Zoo Med,Health,Reptiles,29.99,T5 HO UVB fluorescent bulb,0.5,,1,30
RPT002,Exo Terra Solar Glo,Exo Terra,Health,Reptiles,39.99,Mercury vapor heat and UVB bulb,0.5,,1,25
RPT003,Zoo Med Repti Basking Spot,Zoo Med,Health,Reptiles,9.99,100W basking heat bulb,0.25,,1,45
RPT004,Fluker's Ceramic Heat Emitter,Fluker's,Health,Reptiles,19.99,100W infrared heat emitter,0.25,,1,38
RPT005,Zoo Med ReptiTherm UTH,Zoo Med,Health,Reptiles,24.99,Under tank heating pad,0.5,Large,1,35
RPT006,Exo Terra Heat Mat,Exo Terra,Health,Reptiles,19.99,Substrate heater,0.25,Medium,1,40
RPT007,Zoo Med Digital Thermometer Humidity,Zoo Med,Health,Reptiles,12.99,Digital thermo-hygrometer,0.25,,1,50
RPT008,Exo Terra Thermostat 600W,Exo Terra,Health,Reptiles,49.99,Dimming thermostat,0.5,,1,25
RPT009,Zoo Med Repti Calcium with D3,Zoo Med,Health,Reptiles,7.99,Calcium supplement powder,0.25,8oz,1,55
RPT010,Rep-Cal Herptivite Multivitamin,Rep-Cal,Health,Reptiles,9.99,Reptile multivitamin,0.25,3.3oz,1,48
RPT011,Zoo Med Natural Adult Bearded Dragon,Zoo Med,Food,Reptiles,14.99,Pellet food for adult beardies,0.5,10oz,1,35
RPT012,Repashy Crested Gecko Diet,Repashy,Food,Reptiles,19.99,Complete gecko meal replacement,0.5,6oz,1,30
RPT013,Fluker's Buffet Blend Adult Bearded,Fluker's,Food,Reptiles,11.99,Veggie and insect blend,0.5,4.4oz,1,38
RPT014,Zilla Reptile Munchies Omnivore,Zilla,Food,Reptiles,8.99,Dehydrated food mix,0.25,4oz,1,45
RPT015,Mazuri Tortoise Diet,Mazuri,Food,Reptiles,24.99,Complete tortoise nutrition,5,,1,22
RPT016,Exo Terra Canned Grasshoppers,Exo Terra,Food,Reptiles,7.99,Canned feeder insects,0.25,1.2oz,1,50
RPT017,Zoo Med Can O Crickets,Zoo Med,Food,Reptiles,6.99,Canned crickets,0.25,1.2oz,1,52
RPT018,Fluker's Freeze-Dried Crickets,Fluker's,Food,Reptiles,9.99,Freeze-dried feeder insects,0.25,1.2oz,1,45
RPT019,Dubia Roaches Medium 100ct,Dubia,Food,Reptiles,14.99,Live dubia roaches,0.5,,1,30
RPT020,Josh's Frogs Fruit Fly Culture,Josh's Frogs,Food,Reptiles,9.99,Live flightless fruit flies,0.25,,1,35
RPT021,Exo Terra Natural Terrarium Medium,Exo Terra,Beds,Reptiles,189.99,Front-opening glass terrarium,45,24x18x18,1,8
RPT022,Zoo Med ReptiBreeze Screen Cage,Zoo Med,Beds,Reptiles,89.99,Screen chameleon cage,15,24x24x48,1,12
RPT023,Exo Terra Faunarium Large,Exo Terra,Beds,Reptiles,19.99,Plastic transport container,2,,1,35
RPT024,Zilla Basic Desert Starter Kit,Zilla,Beds,Reptiles,129.99,10-gallon desert setup,25,,1,15
RPT025,Zoo Med Reptihabitat Bearded Dragon,Zoo Med,Beds,Reptiles,149.99,20-gallon complete kit,35,,1,10
RPT026,Exo Terra Rainforest Habitat Kit,Exo Terra,Beds,Reptiles,199.99,Tropical terrarium kit,40,,1,8
RPT027,Zoo Med Eco Carpet,Zoo Med,Health,Reptiles,12.99,Washable reptile liner,0.5,,1,40
RPT028,Exo Terra Forest Moss,Exo Terra,Health,Reptiles,9.99,Natural sphagnum moss,0.5,500g,1,45
RPT029,Zoo Med Repti Bark,Zoo Med,Health,Reptiles,14.99,Fir bark substrate,5,8qt,1,35
RPT030,Exo Terra Sand Mat,Exo Terra,Health,Reptiles,16.99,Desert substrate mat,1,,1,38
RPT031,Zoo Med Habba Hut,Zoo Med,Accessories,Reptiles,9.99,Natural wood hide,0.5,Medium,1,45
RPT032,Exo Terra Reptile Cave,Exo Terra,Accessories,Reptiles,19.99,Realistic rock hide,1,Medium,1,35
RPT033,Fluker's Repta-Vines,Fluker's,Accessories,Reptiles,8.99,Plastic jungle vines,0.5,,1,48
RPT034,Zoo Med Mopani Wood,Zoo Med,Accessories,Reptiles,14.99,Natural driftwood,2,Medium,1,30
RPT035,Exo Terra Reptile Fountain,Exo Terra,Accessories,Reptiles,34.99,Circulating water dish,2,,1,22
RPT036,Zoo Med Repti Fogger,Zoo Med,Health,Reptiles,44.99,Ultrasonic humidifier,2,,1,18
RPT037,Exo Terra Monsoon Solo,Exo Terra,Health,Reptiles,79.99,Programmable misting system,3,,1,12
RPT038,Zoo Med Turtle Dock,Zoo Med,Accessories,Reptiles,19.99,Floating basking platform,1,Large,1,30
RPT039,Penn-Plax Reptology Lizard Lounger,Penn-Plax,Accessories,Reptiles,14.99,Woven hammock,0.5,Large,1,35
RPT040,Exo Terra Feeding Rock,Exo Terra,Accessories,Reptiles,12.99,Anti-escape food dish,0.5,,1,40
DOG121,Purina Pro Plan Sport 30/20,Purina,Food,Dogs,64.99,High-protein formula for active dogs,33,Large Bag,1,18
DOG122,Eukanuba Adult Large Breed,Eukanuba,Food,Dogs,54.99,3D DentaDefense kibble,30,Large Bag,1,22
DOG123,SportDog FieldTrainer 425X,SportDog,Accessories,Dogs,199.99,Remote training collar,0.5,,1,12
DOG124,Garmin Delta XC Dog Training,Garmin,Accessories,Dogs,299.99,GPS training collar system,0.5,,1,8
DOG125,PetSafe Standard Radio Fence,PetSafe,Accessories,Dogs,249.99,In-ground fence system,5,,1,10
DOG126,Invisible Fence Brand Collar,Invisible Fence,Accessories,Dogs,399.99,Wireless containment collar,0.5,,1,6
DOG127,ThunderShirt Classic Dog Anxiety,ThunderShirt,Health,Dogs,44.99,Pressure wrap for anxiety,0.5,Large,1,35
DOG128,Adaptil Calming Collar,Adaptil,Health,Dogs,24.99,Pheromone calming collar,0.25,Large,1,40
DOG129,PetArmor Plus Flea Treatment,PetArmor,Health,Dogs,34.99,6-month flea tick topical,0.25,Large,1,45
DOG130,K9 Advantix II Flea Prevention,K9 Advantix,Health,Dogs,59.99,6-month flea tick mosquito,0.25,Large,1,32
DOG131,Kurgo Baxter Dog Backpack,Kurgo,Accessories,Dogs,59.99,Dog hiking backpack,0.75,Large,1,22
DOG132,Ruff Wear Web Master Harness,Ruff Wear,Accessories,Dogs,79.95,Multi-use support harness,0.75,Large,1,18
DOG133,Orvis Grip-Trex Dog Boots,Orvis,Accessories,Dogs,79.99,All-terrain dog boots 4-pack,0.5,Large,1,15
DOG134,Hurtta Summit Parka,Hurtta,Accessories,Dogs,109.99,Insulated winter dog coat,1,Large,1,12
DOG135,Canada Pooch Everest Explorer,Canada Pooch,Accessories,Dogs,89.99,Reflective winter jacket,0.75,Large,1,18
DOG136,Ruffwear Float Coat,Ruffwear,Accessories,Dogs,89.95,Dog life jacket,1,Large,1,20
DOG137,Outward Hound Granby Splash Jacket,Outward Hound,Accessories,Dogs,34.99,Budget dog life vest,0.75,Large,1,28
DOG138,Petmate Arm & Hammer Swivel Bin,Petmate,Accessories,Dogs,19.99,Waste bag dispenser bin,2,,1,35
DOG139,Earth Rated Dog Poop Bags 900ct,Earth Rated,Accessories,Dogs,24.99,Lavender scented waste bags,2,,1,45
DOG140,PoopBags Recycled Bags 720ct,PoopBags,Accessories,Dogs,19.99,Eco-friendly waste bags,1.5,,1,50
DOG141,Coastal Pet Martingale Collar,Coastal Pet,Accessories,Dogs,14.99,No-slip training collar,0.25,Large,1,40
DOG142,Lupine Originals Collar,Lupine,Accessories,Dogs,17.99,Guaranteed durable collar,0.25,Large,1,38
DOG143,Orvis Personalized Dog Collar,Orvis,Accessories,Dogs,39.99,Leather embossed collar,0.25,Large,1,25
DOG144,If It Barks Martingale Collar,If It Barks,Accessories,Dogs,24.99,Handmade martingale collar,0.25,Large,1,30
DOG145,OmniPet Signature Leather Collar,OmniPet,Accessories,Dogs,19.99,Classic leather collar,0.25,Large,1,35
DOG146,Neater Feeder Express Elevated Bowl,Neater Feeder,Accessories,Dogs,34.99,Mess-proof elevated bowls,4,Large,1,25
DOG147,PetSafe Drinkwell Multi-Tier Fountain,PetSafe,Health,Dogs,54.99,100oz dog water fountain,6,,1,18
DOG148,IRIS Airtight Food Storage Container,IRIS,Accessories,Dogs,24.99,33lb capacity food bin,5,,1,35
DOG149,Vittles Vault Outback Stackable,Vittles Vault,Accessories,Dogs,29.99,40lb pest-proof container,6,,1,30
DOG150,Gamma2 Vittles Vault Plus,Gamma2,Accessories,Dogs,44.99,60lb airtight container,8,,1,22
CAT081,Purina ONE True Instinct,Purina,Food,Cats,32.99,High protein with real chicken,14.4,Large Bag,1,30
CAT082,Iams ProActive Health Indoor,Iams,Food,Cats,26.99,Weight control indoor formula,16,Large Bag,1,35
CAT083,Hartz Delectables Squeeze Up,Hartz,Food,Cats,8.99,Lickable cat treats 12-pack,0.5,Pack,1,50
CAT084,Inaba Churu Cat Treats,Inaba,Food,Cats,12.99,Creamy puree treats 20-pack,0.5,Pack,1,45
CAT085,Catit Creamy Treats,Catit,Food,Cats,9.99,Lickable treats 12-pack,0.25,Pack,1,48
CAT086,PureBites Freeze-Dried Chicken,PureBites,Food,Cats,14.99,Single ingredient treats,0.5,2.3oz,1,40
CAT087,Friskies Party Mix Treats,Friskies,Food,Cats,4.99,Crunchy cat treats,0.25,6oz,1,60
CAT088,Sentry Calming Collar for Cats,Sentry,Health,Cats,14.99,Lavender pheromone collar,0.1,,1,45
CAT089,Comfort Zone Multi-Cat Diffuser,Comfort Zone,Health,Cats,24.99,Calming diffuser kit,0.5,,1,35
CAT090,Pet Naturals Calming Chews Cats,Pet Naturals,Health,Cats,9.99,Calming supplement,0.25,30ct,1,48
CAT091,Virbac CET Enzymatic Toothpaste,Virbac,Grooming,Cats,11.99,Enzymatic cat toothpaste,0.25,2.5oz,1,40
CAT092,Vet's Best Dental Care Gel,Vet's Best,Grooming,Cats,8.99,Finger brush dental gel,0.25,3.5oz,1,45
CAT093,FURminator Short Hair deShedding,FURminator,Grooming,Cats,29.99,Short hair cat deshedder,0.25,Small,1,30
CAT094,JW Pet GripSoft Cat Brush,JW Pet,Grooming,Cats,8.99,Ergonomic cat brush,0.25,,1,50
CAT095,Catit Senses 2.0 Self Groomer,Catit,Grooming,Cats,12.99,Wall-mounted grooming brush,0.5,,1,40
CAT096,Pet Republique Dematting Comb,Pet Republique,Grooming,Cats,14.99,Mat and tangle remover,0.25,,1,38
CAT097,Hertzko Self Cleaning Cat Brush,Hertzko,Grooming,Cats,12.99,Retractable bristle brush,0.25,,1,45
CAT098,Li'l Pals Kitten Slicker Brush,Li'l Pals,Grooming,Cats,6.99,Gentle kitten brush,0.1,,1,55
CAT099,Safari Soft Tip Massager,Safari,Grooming,Cats,7.99,Massage grooming brush,0.25,,1,50
CAT100,Burt's Bees Dander Reducing Spray,Burt's Bees,Grooming,Cats,9.99,Natural dander spray,0.5,10oz,1,42
DOG151,Blue Buffalo Basics Limited,Blue Buffalo,Food,Dogs,64.99,Limited ingredient turkey and potato,22,Large Bag,1,18
DOG152,Purina Pro Plan Sensitive Skin,Purina,Food,Dogs,59.99,Salmon and rice formula,30,Large Bag,1,22
DOG153,Hill's Prescription Diet i/d,Hill's,Food,Dogs,89.99,Digestive care prescription food,27.5,Large Bag,1,12
DOG154,Royal Canin Veterinary Diet GI,Royal Canin,Food,Dogs,94.99,Gastrointestinal prescription food,22,Large Bag,1,10
DOG155,Purina Pro Plan Veterinary HP,Purina,Food,Dogs,79.99,Hydrolyzed protein diet,18.5,Large Bag,1,14
DOG156,Honest Kitchen Dehydrated Dog Food,Honest Kitchen,Food,Dogs,74.99,Human-grade dehydrated food,10,,1,18
DOG157,Spot Farms Organic Dog Treats,Spot Farms,Food,Dogs,12.99,Organic chicken treats,0.25,12.5oz,1,40
DOG158,Fruitables Pumpkin SuperBlend,Fruitables,Food,Dogs,8.99,Digestive pumpkin supplement,0.5,15oz,1,45
DOG159,Bocce's Bakery Birthday Cake Biscuits,Bocce's,Food,Dogs,9.99,All natural birthday treats,0.25,5oz,1,50
DOG160,Buddy Biscuits Grain Free,Buddy Biscuits,Food,Dogs,6.99,Crunchy peanut butter treats,0.5,5oz,1,55
FSH031,Aqueon Betta Food Pellets,Aqueon,Food,Fish,4.99,Floating betta pellets,0.1,0.95oz,1,65
FSH032,Fluval Bug Bites Betta Formula,Fluval,Food,Fish,6.99,Insect-based betta food,0.1,1oz,1,55
FSH033,San Francisco Bay Brine Shrimp,San Francisco Bay,Food,Fish,8.99,Frozen brine shrimp cubes,0.5,3.5oz,1,40
FSH034,Hikari Blood Red Parrot Plus,Hikari,Food,Fish,14.99,Color enhancing pellets,0.5,11.7oz,1,32
FSH035,Tetra Pond Koi Vibrance,Tetra,Food,Fish,24.99,Color enhancing koi food,3.31,Bag,1,20
FSH036,API Pond Fish Food,API,Food,Fish,19.99,Floating pond pellets,2.68,Bag,1,25
FSH037,Hikari Algae Wafers,Hikari,Food,Fish,9.99,Sinking algae discs,0.25,2.89oz,1,48
FSH038,Omega One Super Color Flakes,Omega One,Food,Fish,11.99,Color enhancing flakes,0.5,2.2oz,1,42
FSH039,New Life Spectrum AlgaeMAX,New Life Spectrum,Food,Fish,12.99,Vegetable enhanced pellets,0.5,150g,1,38
FSH040,Cobalt Aquatics Spirulina Flakes,Cobalt,Food,Fish,9.99,Spirulina enriched flakes,0.25,1.2oz,1,45
FSH041,Seachem Stability,Seachem,Health,Fish,12.99,Beneficial bacteria starter,0.5,250ml,1,40
FSH042,API Quick Start,API,Health,Fish,9.99,Instant bacteria cycle,0.5,8oz,1,45
FSH043,Tetra SafeStart Plus,Tetra,Health,Fish,11.99,Live nitrifying bacteria,0.5,8.45oz,1,42
FSH044,Seachem ParaGuard,Seachem,Health,Fish,14.99,Fish disease treatment,0.5,250ml,1,35
FSH045,API Melafix,API,Health,Fish,11.99,Natural antibacterial remedy,0.5,16oz,1,40
FSH046,Imagitarium Air Stone 4-inch,Imagitarium,Accessories,Fish,3.99,Aquarium air stone,0.1,,1,70
FSH047,Marina Flexible Airline Tubing,Marina,Accessories,Fish,4.99,25ft airline tubing,0.25,,1,60
FSH048,Aqueon Algae Cleaning Magnet,Aqueon,Accessories,Fish,9.99,Magnetic glass cleaner,0.25,Medium,1,45
FSH049,Python No Spill Clean and Fill,Python,Accessories,Fish,44.99,25ft water change system,3,,1,20
FSH050,Seachem Ammonia Alert,Seachem,Health,Fish,8.99,Continuous ammonia sensor,0.1,,1,50
BRD031,Kaytee Spray Millet 12-Pack,Kaytee,Food,Birds,12.99,Natural millet spray treats,0.5,,1,45
BRD032,Lafeber Avi-Cakes Parrot,Lafeber,Food,Birds,14.99,Omega 3 enriched cakes,0.75,,1,35
BRD033,ZuPreem Pure Fun Cockatiel,ZuPreem,Food,Birds,11.99,Fun shapes pellet mix,2,,1,40
BRD034,Vitakraft Sunseed Vita Prima,Vitakraft,Food,Birds,16.99,Premium cockatiel food,3,,1,32
BRD035,Tropican Lifetime Formula,Tropican,Food,Birds,22.99,All-life-stage parrot food,4,,1,28
BRD036,Cuttlebone 6-inch 2-Pack,Living World,Health,Birds,4.99,Natural calcium source,0.25,,1,65
BRD037,Manu Mineral Block,Manu,Health,Birds,6.99,Essential minerals block,0.5,,1,55
BRD038,Avitech AviCalm,Avitech,Health,Birds,14.99,Calming supplement,0.25,2oz,1,40
BRD039,Harrison's Power Treats,Harrison's,Food,Birds,9.99,Organic training treats,0.25,1oz,1,50
BRD040,Lafeber Popcorn Nutri-Berries,Lafeber,Food,Birds,11.99,Popcorn flavored berries,0.5,4oz,1,42
DOG161,Merrick Backcountry Raw Infused,Merrick,Food,Dogs,74.99,Freeze-dried raw coated kibble,22,Large Bag,1,16
DOG162,Nulo Freestyle Adult Salmon,Nulo,Food,Dogs,64.99,Grain-free high protein,24,Large Bag,1,20
DOG163,Farmina N&D Ancestral Grain,Farmina,Food,Dogs,79.99,Low grain Italian recipe,26.4,Large Bag,1,14
DOG164,Petcurean Now Fresh Adult,Petcurean,Food,Dogs,69.99,100% fresh meat no meal,25,Large Bag,1,18
DOG165,Solid Gold Wolf King Bison,Solid Gold,Food,Dogs,59.99,Bison brown rice recipe,24,Large Bag,1,22
CAT101,Fancy Feast Medleys Collection,Fancy Feast,Food,Cats,29.99,Gourmet wet food 30-pack,8,Pack,1,35
CAT102,Blue Buffalo Tastefuls Pate,Blue Buffalo,Food,Cats,24.99,Natural pate 12-pack,4,Pack,1,40
CAT103,Nulo Freestyle Pate Cat Food,Nulo,Food,Cats,32.99,Grain-free pate 12-pack,4.5,Pack,1,32
CAT104,Smalls Fresh Human-Grade Cat,Smalls,Food,Cats,39.99,Fresh human-grade food,2,Pack,1,25
CAT105,Tiki Cat After Dark Variety,Tiki Cat,Food,Cats,36.99,Organ meat pate 12-pack,3.5,Pack,1,28
