id,name,category,occasion,description,price,size,flowers_included,colors,vase_included,same_day_available,stock,image_url
178,Pink Gerbera Love,Gerbera Daisies,Valentine's Day,"Pink gerberas for romance",49.99,Medium,"Pink Gerbera Daisies (12)",Pink,0,1,20,
179,Carnation Classic,Carnations,Budget,"Affordable carnation bouquet",24.99,Medium,"Carnations (15)",Mixed,0,1,50,
180,Carnation Premium Mix,Carnations,Thank You,"Premium mixed carnations",34.99,Medium,"Premium Carnations (20)","Pink, Red, White, Purple",0,1,40,
181,Red Carnation Elegance,Carnations,Valentine's Day,"Classic red carnations",29.99,Medium,"Red Carnations (18)",Red,0,1,35,
182,Carnation and Rose Mix,Carnations,Birthday,"Carnations paired with roses",44.99,Medium,"Carnations (12), Roses (6)","Mixed",0,1,30,
183,Ranunculus Romance,Ranunculus,Anniversary,"Delicate layered ranunculus",74.99,Medium,"Ranunculus (15)","Pink, Peach, White",0,0,12,
184,Ranunculus Garden,Ranunculus,Wedding,"Garden-style ranunculus mix",84.99,Large,"Ranunculus (20), Greenery","Blush, Cream, Coral",0,0,8,
185,Stock Fragrance,Stock,Thank You,"Fragrant stock flowers",49.99,Medium,"Stock (10 stems)","Purple, Pink, White",0,1,20,
186,Snapdragon Tower,Snapdragons,Birthday,"Tall snapdragon arrangement",54.99,Large,"Snapdragons (15)","Pink, Yellow, Red",0,1,18,
187,Delphinium Blue Spires,Delphinium,Corporate,"Dramatic blue delphinium",64.99,Large,"Blue Delphinium (10)",Blue,0,1,15,
188,Alstroemeria Burst,Alstroemeria,Thank You,"Long-lasting alstroemeria",39.99,Medium,"Alstroemeria (15 stems)","Mixed",0,1,35,
189,Lisianthus Luxury,Lisianthus,Anniversary,"Rose-like lisianthus blooms",69.99,Medium,"Lisianthus (12)","White, Pink, Purple",0,0,12,
190,Freesia Fragrance,Freesia,Thank You,"Sweet-scented freesia bundle",44.99,Small,"Freesia (15 stems)","White, Yellow, Purple",0,1,20,
191,Chrysanthemum Classic,Chrysanthemums,Sympathy,"Traditional chrysanthemum arrangement",49.99,Medium,"Chrysanthemums (football mums)","White, Yellow",0,1,25,
192,Daisy Chain,Daisies,Just Because,"Simple cheerful daisies",29.99,Small,"White Daisies (bunch)",White,0,1,40,
193,Seasonal Spring Bouquet,Seasonal Mix,Easter,"Fresh spring seasonal flowers",59.99,Medium,"Tulips, Daffodils, Hyacinth","Pastel Mix",0,1,30,
194,Seasonal Summer Bouquet,Seasonal Mix,Just Because,"Vibrant summer flowers",64.99,Medium,"Zinnias, Dahlias, Sunflowers","Bright Mix",0,1,25,
195,Seasonal Fall Bouquet,Seasonal Mix,Thanksgiving,"Autumn-toned seasonal mix",64.99,Medium,"Mums, Dahlias, Berries","Orange, Burgundy, Gold",0,1,25,
196,Seasonal Winter Bouquet,Seasonal Mix,Christmas,"Winter seasonal arrangement",69.99,Medium,"Amaryllis, Pine, Berries, Roses","Red, White, Green",0,1,20,
197,Monochrome White,Designer,Wedding,"All-white designer arrangement",89.99,Large,"White Roses, Calla Lilies, Orchids",White,1,0,10,
198,Monochrome Pink,Designer,Birthday,"All-pink statement piece",84.99,Large,"Pink Roses, Peonies, Ranunculus",Pink,1,0,10,
199,Monochrome Red,Designer,Anniversary,"Dramatic all-red arrangement",94.99,Large,"Red Roses, Red Calla Lilies, Red Berries",Red,1,0,8,
200,High-Style Contemporary,Designer,Corporate,"Architectural modern design",129.99,Large,"Calla Lilies, Orchids, Monstera, Branches","White, Green",1,0,5,
