id,name,category,room,price,description,dimensions_json,weight_lbs,material,color,assembly_required,assembly_time_minutes,in_stock,stock_quantity
OD022,Malibu Outdoor Bar,Bars,Outdoor,799.99,Outdoor bar with storage,"{""width"": 60, ""depth"": 24, ""height"": 42, ""unit"": ""inches""}",125,Wicker,Brown,1,75,1,5
OD023,Beach Outdoor Bar Stools,Bars,Outdoor,299.99,Set of 2 outdoor bar stools,"{""width"": 18, ""depth"": 18, ""height"": 30, ""unit"": ""inches""}",32,Aluminum,White,1,25,1,12
OD024,Coastal Storage Bench,Storage,Outdoor,299.99,Deck storage bench holds cushions,"{""width"": 52, ""depth"": 22, ""height"": 24, ""unit"": ""inches""}",45,Resin,Brown,1,40,1,14
OD025,Pacific Outdoor Rug,Rugs,Outdoor,149.99,Weather resistant outdoor rug 5x7,"{""width"": 84, ""depth"": 60, ""height"": 0.2, ""unit"": ""inches""}",12,Polypropylene,Blue/White,0,0,1,20
KD001,Copenhagen Kids Twin Bed,Beds,Kids,399.99,Twin bed with safety rails,"{""width"": 42, ""depth"": 78, ""height"": 35, ""unit"": ""inches""}",65,Wood,White,1,45,1,15
KD002,Stockholm Loft Bed,Beds,Kids,599.99,Twin loft bed with desk underneath,"{""width"": 42, ""depth"": 80, ""height"": 68, ""unit"": ""inches""}",125,Wood/Metal,Gray,1,90,1,8
KD003,Oslo Toddler Bed,Beds,Kids,199.99,Toddler bed with low profile,"{""width"": 30, ""depth"": 56, ""height"": 24, ""unit"": ""inches""}",35,Wood,Natural,1,25,1,20
KD004,Malmo Trundle Bed,Beds,Kids,549.99,Twin bed with pull-out trundle,"{""width"": 42, ""depth"": 78, ""height"": 36, ""unit"": ""inches""}",95,Wood,Espresso,1,60,1,10
KD005,Bergen Triple Bunk,Beds,Kids,899.99,Triple bunk bed for shared rooms,"{""width"": 42, ""depth"": 80, ""height"": 78, ""unit"": ""inches""}",185,Wood/Metal,Black,1,120,1,4
KD006,Helsinki Kids Dresser,Dressers,Kids,349.99,5-drawer kids dresser with safety hardware,"{""width"": 36, ""depth"": 18, ""height"": 42, ""unit"": ""inches""}",85,Wood,Pink,1,40,1,12
KD007,Aarhus Kids Nightstand,Nightstands,Kids,129.99,Kids nightstand with open shelf,"{""width"": 18, ""depth"": 14, ""height"": 20, ""unit"": ""inches""}",22,Wood,Blue,1,15,1,25
KD008,Gothenburg Toy Chest,Storage,Kids,199.99,Toy chest with slow-close lid,"{""width"": 36, ""depth"": 18, ""height"": 20, ""unit"": ""inches""}",38,Wood,White,1,25,1,18
KD009,Turku Bookcase Kids,Shelving,Kids,179.99,Kids bookcase with toy bins,"{""width"": 36, ""depth"": 12, ""height"": 42, ""unit"": ""inches""}",45,Wood,Natural/Multi,1,30,1,15
KD010,Tampere Kids Desk,Desks,Kids,249.99,Kids desk with hutch storage,"{""width"": 42, ""depth"": 20, ""height"": 48, ""unit"": ""inches""}",55,Wood,White,1,45,1,12
KD011,Reykjavik Kids Chair,Chairs,Kids,79.99,Adjustable kids desk chair,"{""width"": 18, ""depth"": 18, ""height"": 32, ""unit"": ""inches""}",15,Fabric/Metal,Blue,1,15,1,30
KD012,Nuuk Bean Bag Chair,Chairs,Kids,69.99,Large bean bag chair for kids,"{""width"": 36, ""depth"": 36, ""height"": 28, ""unit"": ""inches""}",8,Fabric,Pink,0,0,1,25
KD013,Stavanger Play Table,Tables,Kids,149.99,Kids activity table with storage,"{""width"": 40, ""depth"": 24, ""height"": 22, ""unit"": ""inches""}",28,Wood,White/Natural,1,25,1,18
KD014,Trondheim Stool Set,Chairs,Kids,59.99,Set of 2 kids stools,"{""width"": 12, ""depth"": 12, ""height"": 12, ""unit"": ""inches""}",10,Wood,Multi,1,10,1,30
KD015,Uppsala Kids Wardrobe,Wardrobes,Kids,449.99,Kids wardrobe with lower rod,"{""width"": 36, ""depth"": 22, ""height"": 60, ""unit"": ""inches""}",95,Wood,White,1,60,1,8
KD016,Odense Reading Nook,Seating,Kids,299.99,Kids reading corner chair,"{""width"": 30, ""depth"": 28, ""height"": 48, ""unit"": ""inches""}",35,Fabric/Wood,Gray,1,30,1,10
KD017,Aalborg Kids Rug,Rugs,Kids,99.99,Playful kids rug 5x7,"{""width"": 84, ""depth"": 60, ""height"": 0.5, ""unit"": ""inches""}",15,Nylon,Multi/Roads,0,0,1,22
KD018,Esbjerg Teepee Tent,Decor,Kids,89.99,Cotton teepee play tent,"{""width"": 48, ""depth"": 48, ""height"": 60, ""unit"": ""inches""}",12,Cotton/Wood,White/Gray,1,20,1,20
KD019,Roskilde Wall Shelf,Shelving,Kids,49.99,Cloud-shaped floating shelf,"{""width"": 24, ""depth"": 6, ""height"": 10, ""unit"": ""inches""}",5,Wood,White,1,15,1,35
KD020,Viborg Growth Chart,Decor,Kids,29.99,Wooden growth chart ruler,"{""width"": 8, ""depth"": 1, ""height"": 60, ""unit"": ""inches""}",3,Wood,Natural,1,10,1,40
EN001,Copenhagen Entry Bench,Benches,Entryway,249.99,Entry bench with shoe storage,"{""width"": 42, ""depth"": 16, ""height"": 18, ""unit"": ""inches""}",38,Wood,White,1,25,1,15
EN002,Stockholm Hall Tree,Hall Trees,Entryway,349.99,Hall tree with bench and hooks,"{""width"": 36, ""depth"": 18, ""height"": 72, ""unit"": ""inches""}",65,Wood,Espresso,1,45,1,10
EN003,Oslo Coat Rack,Coat Racks,Entryway,99.99,Freestanding coat rack with umbrella holder,"{""width"": 16, ""depth"": 16, ""height"": 72, ""unit"": ""inches""}",18,Metal,Black,1,15,1,25
EN004,Malmo Console Entry,Tables,Entryway,299.99,Narrow entry console with drawers,"{""width"": 42, ""depth"": 14, ""height"": 32, ""unit"": ""inches""}",42,Wood,Walnut,1,30,1,12
EN005,Bergen Shoe Cabinet,Storage,Entryway,249.99,Shoe cabinet with tilt-out bins,"{""width"": 36, ""depth"": 10, ""height"": 42, ""unit"": ""inches""}",48,Wood,White,1,35,1,14
EN006,Helsinki Entry Mirror,Mirrors,Entryway,149.99,Entryway mirror with hooks,"{""width"": 24, ""depth"": 4, ""height"": 36, ""unit"": ""inches""}",18,Glass/Wood,Natural Oak,1,20,1,20
EN007,Aarhus Key Cabinet,Accessories,Entryway,59.99,Wall mounted key cabinet,"{""width"": 12, ""depth"": 4, ""height"": 16, ""unit"": ""inches""}",5,Wood,White,1,10,1,35
EN008,Gothenburg Umbrella Stand,Accessories,Entryway,49.99,Ceramic umbrella holder,"{""width"": 8, ""depth"": 8, ""height"": 18, ""unit"": ""inches""}",8,Ceramic,Gray,0,0,1,28
EN009,Turku Entry Rug,Rugs,Entryway,79.99,Indoor outdoor entry mat 3x5,"{""width"": 60, ""depth"": 36, ""height"": 0.3, ""unit"": ""inches""}",8,Polypropylene,Navy,0,0,1,30
EN010,Tampere Wall Hooks Set,Accessories,Entryway,39.99,Set of 5 wall mounted hooks,"{""width"": 4, ""depth"": 3, ""height"": 4, ""unit"": ""inches""}",2,Metal,Brass,1,10,1,45
BA001,Copenhagen Vanity Cabinet,Vanities,Bathroom,599.99,36-inch bathroom vanity with sink,"{""width"": 36, ""depth"": 22, ""height"": 34, ""unit"": ""inches""}",95,Wood,White,1,60,1,8
BA002,Stockholm Double Vanity,Vanities,Bathroom,999.99,60-inch double sink vanity,"{""width"": 60, ""depth"": 22, ""height"": 34, ""unit"": ""inches""}",165,Wood,Gray,1,90,1,4
BA003,Oslo Floating Vanity,Vanities,Bathroom,449.99,Wall mounted bathroom vanity,"{""width"": 30, ""depth"": 18, ""height"": 20, ""unit"": ""inches""}",55,Wood,Walnut,1,45,1,10
BA004,Malmo Medicine Cabinet,Cabinets,Bathroom,199.99,Mirrored medicine cabinet,"{""width"": 24, ""depth"": 6, ""height"": 30, ""unit"": ""inches""}",28,Glass/Wood,White,1,25,1,18
BA005,Bergen Linen Tower,Storage,Bathroom,249.99,Tall bathroom linen cabinet,"{""width"": 16, ""depth"": 14, ""height"": 65, ""unit"": ""inches""}",55,Wood,White,1,40,1,12
BA006,Helsinki Over Toilet Cabinet,Storage,Bathroom,129.99,Space saver over toilet storage,"{""width"": 24, ""depth"": 10, ""height"": 68, ""unit"": ""inches""}",28,Wood,Espresso,1,30,1,20
BA007,Aarhus Bath Stool,Seating,Bathroom,79.99,Teak shower bench,"{""width"": 18, ""depth"": 12, ""height"": 18, ""unit"": ""inches""}",12,Teak,Natural,1,15,1,25
BA008,Gothenburg Ladder Shelf,Shelving,Bathroom,119.99,Leaning ladder bathroom shelf,"{""width"": 18, ""depth"": 12, ""height"": 60, ""unit"": ""inches""}",18,Wood,White,1,20,1,22
BA009,Turku Towel Rack,Accessories,Bathroom,49.99,Freestanding towel rack,"{""width"": 24, ""depth"": 12, ""height"": 36, ""unit"": ""inches""}",8,Metal,Chrome,1,15,1,30
BA010,Tampere Bath Mat,Rugs,Bathroom,39.99,Bamboo bath mat,"{""width"": 24, ""depth"": 16, ""height"": 0.5, ""unit"": ""inches""}",4,Bamboo,Natural,0,0,1,40
GA001,Copenhagen Outdoor Potting Bench,Work Benches,Garden,349.99,Potting bench with sink hook-up,"{""width"": 48, ""depth"": 24, ""height"": 48, ""unit"": ""inches""}",65,Wood,Natural,1,45,1,8
GA002,Stockholm Garden Shed,Structures,Garden,1999.99,8x10 wooden garden shed,"{""width"": 120, ""depth"": 96, ""height"": 96, ""unit"": ""inches""}",485,Wood,Gray,1,480,0,2
GA003,Oslo Tool Storage,Storage,Garden,299.99,Outdoor tool storage cabinet,"{""width"": 36, ""depth"": 18, ""height"": 60, ""unit"": ""inches""}",75,Resin,Brown,1,60,1,10
GA004,Malmo Garden Bench,Benches,Garden,249.99,Classic wooden garden bench,"{""width"": 52, ""depth"": 24, ""height"": 36, ""unit"": ""inches""}",45,Wood,Natural,1,35,1,12
GA005,Bergen Arbor,Structures,Garden,399.99,Wooden garden arbor,"{""width"": 54, ""depth"": 24, ""height"": 90, ""unit"": ""inches""}",65,Wood,White,1,75,1,6
GA006,Helsinki Trellis Set,Decor,Garden,89.99,Set of 3 wooden trellises,"{""width"": 24, ""depth"": 1, ""height"": 72, ""unit"": ""inches""}",18,Wood,Black,1,20,1,20
GA007,Aarhus Raised Bed,Planters,Garden,149.99,Raised garden bed 4x4,"{""width"": 48, ""depth"": 48, ""height"": 12, ""unit"": ""inches""}",35,Cedar,Natural,1,25,1,15
GA008,Gothenburg Composter,Accessories,Garden,129.99,Tumbling compost bin,"{""width"": 28, ""depth"": 28, ""height"": 36, ""unit"": ""inches""}",25,Plastic,Black,1,30,1,18
GA009,Turku Garden Cart,Accessories,Garden,199.99,Utility garden cart,"{""width"": 42, ""depth"": 22, ""height"": 24, ""unit"": ""inches""}",35,Metal/Plastic,Green,1,20,1,14
GA010,Tampere Bird Bath,Decor,Garden,99.99,Pedestal bird bath,"{""width"": 18, ""depth"": 18, ""height"": 28, ""unit"": ""inches""}",28,Concrete,Gray,0,0,1,20
HM001,Copenhagen Smart Speaker Stand,Tech,Home,59.99,Stand for smart speakers,"{""width"": 8, ""depth"": 8, ""height"": 32, ""unit"": ""inches""}",8,Wood,Walnut,1,15,1,30
HM002,Stockholm Charging Station,Tech,Home,79.99,Multi-device charging station,"{""width"": 12, ""depth"": 8, ""height"": 6, ""unit"": ""inches""}",4,Bamboo,Natural,0,0,1,35
HM003,Oslo Router Box,Tech,Home,49.99,Decorative router cover box,"{""width"": 14, ""depth"": 6, ""height"": 10, ""unit"": ""inches""}",5,Wood,White,0,0,1,40
HM004,Malmo TV Tray Set,Tables,Home,149.99,Set of 4 folding TV trays,"{""width"": 20, ""depth"": 15, ""height"": 26, ""unit"": ""inches""}",25,Wood,Natural Oak,1,15,1,20
HM005,Bergen Magazine Rack,Storage,Home,69.99,Floor magazine holder,"{""width"": 14, ""depth"": 10, ""height"": 20, ""unit"": ""inches""}",8,Metal,Gold,0,0,1,28
HM006,Helsinki Record Cabinet,Storage,Home,349.99,Vinyl record storage cabinet,"{""width"": 36, ""depth"": 16, ""height"": 30, ""unit"": ""inches""}",65,Wood,Walnut,1,40,1,10
HM007,Aarhus Room Divider,Dividers,Home,249.99,3-panel folding room divider,"{""width"": 54, ""depth"": 1, ""height"": 70, ""unit"": ""inches""}",28,Wood/Fabric,Natural,0,0,1,12
HM008,Gothenburg Murphy Bar,Bars,Home,499.99,Wall mounted fold-down bar,"{""width"": 36, ""depth"": 6, ""height"": 24, ""unit"": ""inches""}",45,Wood,Espresso,1,45,1,8
HM009,Turku Pet Bed,Pet,Home,129.99,Modern pet bed with cushion,"{""width"": 32, ""depth"": 24, ""height"": 12, ""unit"": ""inches""}",15,Wood/Fabric,Gray,0,0,1,18
HM010,Tampere Cat Tree,Pet,Home,199.99,Modern cat tower,"{""width"": 24, ""depth"": 24, ""height"": 60, ""unit"": ""inches""}",35,Wood/Sisal,Natural/White,1,30,1,12
MD001,Scandinavian Modern Sofa,Sofas,Living Room,1499.99,Designer sofa with clean lines,"{""width"": 88, ""depth"": 36, ""height"": 32, ""unit"": ""inches""}",135,Fabric,Cream,0,0,1,5
MD002,Eames Style Lounge Chair,Chairs,Living Room,1299.99,Mid-century lounge chair and ottoman,"{""width"": 33, ""depth"": 33, ""height"": 33, ""unit"": ""inches""}",65,Leather/Wood,Black/Walnut,0,0,1,6
MD003,Noguchi Style Coffee Table,Tables,Living Room,599.99,Sculptural glass coffee table,"{""width"": 50, ""depth"": 36, ""height"": 16, ""unit"": ""inches""}",55,Glass/Wood,Clear/Walnut,1,25,1,8
MD004,Nelson Style Platform Bench,Benches,Living Room,449.99,Slatted wood platform bench,"{""width"": 48, ""depth"": 18, ""height"": 14, ""unit"": ""inches""}",35,Wood,Natural,1,20,1,10
MD005,Tulip Style Dining Table,Tables,Dining Room,799.99,Pedestal dining table with marble top,"{""width"": 48, ""depth"": 48, ""height"": 29, ""unit"": ""inches""}",95,Marble/Metal,White,1,45,1,6
MD006,Wishbone Style Chairs Set,Chairs,Dining Room,699.99,Set of 4 wishbone dining chairs,"{""width"": 22, ""depth"": 20, ""height"": 30, ""unit"": ""inches""}",48,Wood,Natural,1,30,1,8
MD007,Arc Style Floor Lamp,Lighting,Living Room,349.99,Overhanging arc floor lamp,"{""width"": 14, ""depth"": 65, ""height"": 85, ""unit"": ""inches""}",35,Metal/Marble,Chrome/Black,1,30,1,10
MD008,Bubble Style Chandelier,Lighting,Dining Room,599.99,Modern bubble glass chandelier,"{""width"": 32, ""depth"": 32, ""height"": 24, ""unit"": ""inches""}",22,Glass/Metal,Clear/Chrome,1,60,1,5
MD009,Barcelona Style Daybed,Beds,Living Room,1199.99,Tufted leather daybed,"{""width"": 78, ""depth"": 39, ""height"": 26, ""unit"": ""inches""}",85,Leather/Metal,Black/Chrome,0,0,1,4
MD010,Womb Style Chair,Chairs,Living Room,899.99,Curved lounge chair with ottoman,"{""width"": 40, ""depth"": 38, ""height"": 36, ""unit"": ""inches""}",55,Fabric,Orange,0,0,1,6
FM001,Rustic Farmhouse Table,Tables,Dining Room,899.99,Distressed farm table seats 6,"{""width"": 72, ""depth"": 38, ""height"": 30, ""unit"": ""inches""}",145,Wood,Weathered Gray,1,60,1,6
FM002,Farmhouse Bench,Benches,Dining Room,199.99,Matching farm table bench,"{""width"": 60, ""depth"": 14, ""height"": 18, ""unit"": ""inches""}",35,Wood,Weathered Gray,1,25,1,12
FM003,Barnwood Bookcase,Bookcases,Living Room,449.99,Reclaimed barnwood bookshelf,"{""width"": 42, ""depth"": 14, ""height"": 72, ""unit"": ""inches""}",95,Reclaimed Wood,Mixed,1,45,1,8
FM004,Distressed Console,Tables,Entryway,349.99,Farmhouse console with baskets,"{""width"": 48, ""depth"": 16, ""height"": 32, ""unit"": ""inches""}",55,Wood/Wicker,White/Natural,1,30,1,10
FM005,Ladder Back Chairs Set,Chairs,Dining Room,399.99,Set of 4 ladder back chairs,"{""width"": 18, ""depth"": 20, ""height"": 40, ""unit"": ""inches""}",52,Wood,Black,1,25,1,14
FM006,Farmhouse Hutch,Cabinets,Dining Room,1099.99,Display hutch with barn doors,"{""width"": 54, ""depth"": 18, ""height"": 78, ""unit"": ""inches""}",185,Wood,Distressed White,1,120,1,3
FM007,Shiplap Wall Shelf,Shelving,Living Room,129.99,Shiplap-backed floating shelf,"{""width"": 36, ""depth"": 8, ""height"": 24, ""unit"": ""inches""}",18,Wood,White,1,20,1,20
FM008,Galvanized Wall Decor,Decor,Living Room,79.99,Galvanized metal wall art set,"{""width"": 24, ""depth"": 2, ""height"": 24, ""unit"": ""inches""}",8,Metal,Silver,1,15,1,25
FM009,Mason Jar Pendant,Lighting,Kitchen,89.99,Mason jar pendant light,"{""width"": 6, ""depth"": 6, ""height"": 12, ""unit"": ""inches""}",4,Glass/Metal,Clear/Bronze,1,20,1,28
FM010,Country Rooster Clock,Decor,Kitchen,49.99,Vintage style wall clock,"{""width"": 18, ""depth"": 2, ""height"": 18, ""unit"": ""inches""}",5,Metal,Black,1,10,1,35
IN001,Industrial Pipe Shelf,Shelving,Living Room,199.99,Industrial pipe wall shelving,"{""width"": 48, ""depth"": 10, ""height"": 36, ""unit"": ""inches""}",35,Wood/Metal,Walnut/Black,1,30,1,15
IN002,Metal Factory Table,Tables,Dining Room,699.99,Industrial metal base table,"{""width"": 72, ""depth"": 36, ""height"": 30, ""unit"": ""inches""}",125,Wood/Metal,Natural/Black,1,50,1,7
IN003,Pipe Bed Frame Queen,Beds,Bedroom,599.99,Industrial pipe bed frame,"{""width"": 62, ""depth"": 82, ""height"": 48, ""unit"": ""inches""}",95,Metal,Black,1,60,1,8
IN004,Factory Cart Coffee Table,Tables,Living Room,449.99,Vintage factory cart style table,"{""width"": 48, ""depth"": 24, ""height"": 18, ""unit"": ""inches""}",75,Wood/Metal,Distressed/Black,1,35,1,10
IN005,Wire Mesh Locker,Storage,Entryway,299.99,Industrial wire storage locker,"{""width"": 24, ""depth"": 18, ""height"": 72, ""unit"": ""inches""}",65,Metal,Black,1,40,1,12
IN006,Edison Bulb Chandelier,Lighting,Dining Room,249.99,Industrial Edison style chandelier,"{""width"": 30, ""depth"": 8, ""height"": 18, ""unit"": ""inches""}",18,Metal,Bronze,1,35,1,14
IN007,Metal Stool Set,Chairs,Kitchen,149.99,Set of 2 industrial metal stools,"{""width"": 14, ""depth"": 14, ""height"": 26, ""unit"": ""inches""}",28,Metal,Gunmetal,1,15,1,20
IN008,Warehouse Desk,Desks,Office,449.99,Industrial desk with pipe legs,"{""width"": 60, ""depth"": 28, ""height"": 30, ""unit"": ""inches""}",85,Wood/Metal,Brown/Black,1,45,1,10
IN009,Gear Wall Clock,Decor,Living Room,99.99,Exposed gear wall clock,"{""width"": 24, ""depth"": 3, ""height"": 24, ""unit"": ""inches""}",12,Metal,Bronze,0,0,1,18
IN010,Rivet Trunk Coffee Table,Tables,Living Room,349.99,Steamer trunk style table,"{""width"": 42, ""depth"": 24, ""height"": 18, ""unit"": ""inches""}",55,Wood/Metal,Black,1,30,1,12
BH001,Coastal Seagrass Sofa,Sofas,Living Room,1099.99,Coastal style sofa with seagrass accents,"{""width"": 84, ""depth"": 36, ""height"": 34, ""unit"": ""inches""}",125,Fabric/Seagrass,White/Natural,0,0,1,6
BH002,Beach House Coffee Table,Tables,Living Room,349.99,Whitewashed wood coffee table,"{""width"": 48, ""depth"": 28, ""height"": 18, ""unit"": ""inches""}",55,Wood,Whitewash,1,30,1,10
BH003,Rattan Peacock Chair,Chairs,Living Room,499.99,Statement rattan peacock chair,"{""width"": 42, ""depth"": 34, ""height"": 60, ""unit"": ""inches""}",35,Rattan,Natural,0,0,1,8
BH004,Driftwood Console,Tables,Entryway,399.99,Driftwood and glass console,"{""width"": 48, ""depth"": 16, ""height"": 30, ""unit"": ""inches""}",45,Wood/Glass,Natural,1,25,1,10
BH005,Nautical Rope Mirror,Mirrors,Bathroom,149.99,Round mirror with rope frame,"{""width"": 32, ""depth"": 2, ""height"": 32, ""unit"": ""inches""}",15,Glass/Rope,Natural,1,20,1,18
BH006,Wicker Storage Baskets,Storage,Living Room,89.99,Set of 3 wicker baskets,"{""width"": 18, ""depth"": 14, ""height"": 14, ""unit"": ""inches""}",12,Wicker,Natural,0,0,1,25
BH007,Shell Table Lamp,Lighting,Bedroom,129.99,Capiz shell table lamp,"{""width"": 14, ""depth"": 14, ""height"": 26, ""unit"": ""inches""}",8,Shell/Fabric,Natural/White,0,0,1,18
BH008,Coastal Blue Rug,Rugs,Living Room,299.99,Coastal wave pattern rug 6x9,"{""width"": 108, ""depth"": 72, ""height"": 0.5, ""unit"": ""inches""}",28,Wool,Blue/Ivory,0,0,1,12
BH009,Bamboo Bed Frame,Beds,Bedroom,799.99,Queen bamboo platform bed,"{""width"": 64, ""depth"": 84, ""height"": 45, ""unit"": ""inches""}",95,Bamboo,Natural,1,75,1,5
BH010,Seashell Wall Art,Decor,Living Room,79.99,Framed seashell shadow box,"{""width"": 24, ""depth"": 2, ""height"": 24, ""unit"": ""inches""}",8,Glass/Wood,White,0,0,1,22
GL001,Velvet Tufted Sofa,Sofas,Living Room,1899.99,Glamorous velvet tufted sofa,"{""width"": 88, ""depth"": 36, ""height"": 32, ""unit"": ""inches""}",145,Velvet,Emerald Green,0,0,1,4
GL002,Mirrored Coffee Table,Tables,Living Room,599.99,Mirrored coffee table with gold trim,"{""width"": 48, ""depth"": 24, ""height"": 18, ""unit"": ""inches""}",75,Glass/Metal,Mirror/Gold,1,30,1,6
GL003,Crystal Chandelier,Lighting,Dining Room,899.99,Crystal drop chandelier,"{""width"": 24, ""depth"": 24, ""height"": 30, ""unit"": ""inches""}",35,Crystal/Metal,Clear/Chrome,1,75,1,4
GL004,Faux Fur Accent Chair,Chairs,Bedroom,449.99,Faux fur swivel chair,"{""width"": 30, ""depth"": 32, ""height"": 32, ""unit"": ""inches""}",38,Faux Fur,White,0,0,1,8
GL005,Acrylic Console,Tables,Entryway,399.99,Clear acrylic waterfall console,"{""width"": 42, ""depth"": 14, ""height"": 30, ""unit"": ""inches""}",35,Acrylic,Clear,1,20,1,10
GL006,Mirrored Nightstand,Nightstands,Bedroom,349.99,Mirrored 3-drawer nightstand,"{""width"": 24, ""depth"": 18, ""height"": 28, ""unit"": ""inches""}",55,Glass/Wood,Mirror,1,35,1,8
GL007,Gold Bar Cart,Bar Carts,Dining Room,349.99,Art deco style bar cart,"{""width"": 32, ""depth"": 18, ""height"": 34, ""unit"": ""inches""}",32,Metal/Glass,Gold,1,25,1,12
GL008,Tufted Storage Ottoman,Ottomans,Bedroom,299.99,Round tufted storage ottoman,"{""width"": 32, ""depth"": 32, ""height"": 18, ""unit"": ""inches""}",35,Velvet,Blush Pink,1,25,1,10
GL009,Lucite Desk Chair,Chairs,Office,399.99,Clear acrylic desk chair,"{""width"": 24, ""depth"": 26, ""height"": 36, ""unit"": ""inches""}",28,Acrylic,Clear,0,0,1,12
GL010,Sunburst Wall Mirror,Mirrors,Living Room,249.99,Gold sunburst wall mirror,"{""width"": 36, ""depth"": 2, ""height"": 36, ""unit"": ""inches""}",18,Metal/Glass,Gold,1,20,1,14
TR001,Kilim Pattern Rug,Rugs,Living Room,399.99,Traditional kilim area rug 8x10,"{""width"": 120, ""depth"": 96, ""height"": 0.3, ""unit"": ""inches""}",32,Wool,Multi,0,0,1,8
TR002,Carved Wood Cabinet,Cabinets,Dining Room,899.99,Hand-carved accent cabinet,"{""width"": 42, ""depth"": 18, ""height"": 36, ""unit"": ""inches""}",85,Wood,Natural,1,60,1,5
TR003,Brass Tray Table,Tables,Living Room,199.99,Moroccan brass tray table,"{""width"": 24, ""depth"": 24, ""height"": 24, ""unit"": ""inches""}",15,Brass,Gold,0,0,1,18
TR004,Inlay Dresser,Dressers,Bedroom,1299.99,Bone inlay 6-drawer dresser,"{""width"": 60, ""depth"": 18, ""height"": 34, ""unit"": ""inches""}",145,Wood/Bone,White/Gray,1,90,1,3
TR005,Suzani Ottoman,Ottomans,Living Room,249.99,Embroidered suzani ottoman,"{""width"": 18, ""depth"": 18, ""height"": 18, ""unit"": ""inches""}",12,Fabric,Multi,0,0,1,15
TR006,Pierced Metal Lantern,Lighting,Outdoor,79.99,Moroccan pierced metal lantern,"{""width"": 8, ""depth"": 8, ""height"": 16, ""unit"": ""inches""}",4,Metal,Brass,0,0,1,28
TR007,Carved Room Screen,Dividers,Living Room,599.99,Hand-carved 4-panel screen,"{""width"": 80, ""depth"": 1, ""height"": 72, ""unit"": ""inches""}",45,Wood,Whitewash,0,0,1,6
TR008,Jute Pouf,Seating,Living Room,89.99,Natural jute floor pouf,"{""width"": 20, ""depth"": 20, ""height"": 14, ""unit"": ""inches""}",8,Jute,Natural,0,0,1,25
TR009,Wooden Trunk,Storage,Bedroom,349.99,Antique style wooden trunk,"{""width"": 36, ""depth"": 20, ""height"": 22, ""unit"": ""inches""}",45,Wood/Metal,Brown,0,0,1,10
TR010,Batik Throw Pillows,Decor,Living Room,49.99,Set of 2 batik print pillows,"{""width"": 18, ""depth"": 18, ""height"": 6, ""unit"": ""inches""}",3,Cotton,Blue/White,0,0,1,35
MN001,Minimalist Sofa,Sofas,Living Room,1199.99,Clean-lined minimalist sofa,"{""width"": 82, ""depth"": 34, ""height"": 30, ""unit"": ""inches""}",105,Fabric,Charcoal,0,0,1,8
MN002,Simple Platform Bed,Beds,Bedroom,599.99,Low profile platform bed queen,"{""width"": 64, ""depth"": 84, ""height"": 12, ""unit"": ""inches""}",85,Wood,Black,1,45,1,10
MN003,Floating TV Console,TV Stands,Living Room,349.99,Wall-mounted floating console,"{""width"": 60, ""depth"": 14, ""height"": 12, ""unit"": ""inches""}",45,Wood,White,1,50,1,12
MN004,Slim Console Table,Tables,Entryway,199.99,Ultra slim console table,"{""width"": 48, ""depth"": 8, ""height"": 30, ""unit"": ""inches""}",25,Metal,Black,1,15,1,18
MN005,Simple Dining Table,Tables,Dining Room,549.99,Minimalist dining table seats 6,"{""width"": 72, ""depth"": 36, ""height"": 30, ""unit"": ""inches""}",85,Wood,Natural Oak,1,40,1,8
MN006,Wire Chair Set,Chairs,Dining Room,299.99,Set of 4 wire frame chairs,"{""width"": 20, ""depth"": 22, ""height"": 32, ""unit"": ""inches""}",36,Metal,Black,1,20,1,15
MN007,Floating Nightstand Pair,Nightstands,Bedroom,199.99,Set of 2 floating nightstands,"{""width"": 16, ""depth"": 12, ""height"": 6, ""unit"": ""inches""}",18,Wood,Walnut,1,30,1,18
MN008,Wall Mounted Desk,Desks,Office,299.99,Fold-down wall desk,"{""width"": 36, ""depth"": 20, ""height"": 24, ""unit"": ""inches""}",35,Wood,White,1,40,1,14
MN009,Slim Bookshelf,Shelving,Living Room,179.99,Narrow tall bookshelf,"{""width"": 24, ""depth"": 8, ""height"": 72, ""unit"": ""inches""}",35,Metal/Wood,Black/Natural,1,25,1,16
MN010,Concrete Side Table,Tables,Living Room,149.99,Concrete cylinder side table,"{""width"": 14, ""depth"": 14, ""height"": 18, ""unit"": ""inches""}",35,Concrete,Gray,0,0,1,20
SC001,Teak Dining Set,Patio Sets,Outdoor,2499.99,Premium teak 7-piece dining set,"{""width"": 72, ""depth"": 42, ""height"": 30, ""unit"": ""inches""}",245,Teak,Natural,1,120,1,3
SC002,Scandinavian Armchair,Chairs,Living Room,549.99,Danish-inspired armchair,"{""width"": 28, ""depth"": 30, ""height"": 32, ""unit"": ""inches""}",38,Fabric/Wood,Gray/Oak,0,0,1,10
SC003,Round Oak Table,Tables,Dining Room,699.99,Solid oak round dining table,"{""width"": 54, ""depth"": 54, ""height"": 30, ""unit"": ""inches""}",115,Wood,Natural Oak,1,50,1,6
SC004,Hygge Floor Lamp,Lighting,Living Room,199.99,Cozy tripod floor lamp,"{""width"": 18, ""depth"": 18, ""height"": 60, ""unit"": ""inches""}",15,Wood/Fabric,Natural/Linen,1,25,1,14
