id,name,category,subcategory,price,description,material,gemstone,carat_weight,metal_purity,dimensions_json,in_stock,stock_quantity,engravable,gift_wrap_eligible,rating,review_count
JWL-132,Star Ear Climbers,Earrings,Climbers,549.99,Graduated stars climbing ear,Rose Gold,Diamond,0.15,14K,"{""length_mm"": 18}",1,10,0,1,4.1,4765
JWL-133,Leaf Ear Climbers,Earrings,Climbers,499.99,Nature-inspired leaf climbers,Yellow Gold,None,0,14K,"{""length_mm"": 22}",1,12,0,1,4.4,3811
JWL-134,Diamond Tennis Bracelet 3ct,Bracelets,Tennis,4999.99,Classic diamond tennis bracelet 3 carats,White Gold,Diamond,3.0,18K,"{""length_inches"": 7, ""stone_count"": 45}",1,4,0,1,4.6,4495
JWL-135,Diamond Tennis Bracelet 5ct,Bracelets,Tennis,7999.99,Stunning diamond tennis bracelet 5 carats,White Gold,Diamond,5.0,18K,"{""length_inches"": 7, ""stone_count"": 55}",1,3,0,1,4.6,922
JWL-136,Diamond Tennis Bracelet 7ct,Bracelets,Tennis,12999.99,Luxury diamond tennis bracelet 7 carats,Platinum,Diamond,7.0,950Pt,"{""length_inches"": 7, ""stone_count"": 65}",1,2,0,1,4.0,4036
JWL-137,Sapphire Tennis Bracelet,Bracelets,Tennis,3499.99,Alternating sapphire and diamond bracelet,White Gold,Sapphire,4.0,18K,"{""length_inches"": 7, ""stone_count"": 40}",1,3,0,1,4.5,674
JWL-138,Ruby Tennis Bracelet,Bracelets,Tennis,3299.99,Classic ruby tennis bracelet,Yellow Gold,Ruby,3.5,18K,"{""length_inches"": 7, ""stone_count"": 38}",1,3,0,1,4.3,1734
JWL-139,Emerald Tennis Bracelet,Bracelets,Tennis,4299.99,Elegant emerald tennis bracelet,Yellow Gold,Emerald,4.5,18K,"{""length_inches"": 7, ""stone_count"": 42}",1,2,0,1,4.4,768
JWL-140,Diamond Bangle Bracelet,Bracelets,Bangles,2499.99,Diamond bangle with hinged opening,White Gold,Diamond,1.5,18K,"{""inner_diameter_mm"": 60}",1,5,0,1,4.7,4505
JWL-141,Classic Gold Bangle,Bracelets,Bangles,899.99,Classic solid gold bangle,Yellow Gold,None,0,14K,"{""inner_diameter_mm"": 62}",1,10,1,1,4.4,1257
JWL-142,Rose Gold Bangle Set,Bracelets,Bangles,599.99,Set of 3 thin rose gold bangles,Rose Gold,None,0,14K,"{""inner_diameter_mm"": 64}",1,12,0,1,5.0,2988
JWL-143,Twisted Gold Bangle,Bracelets,Bangles,699.99,Elegant twisted gold bangle,Yellow Gold,None,0,14K,"{""inner_diameter_mm"": 62}",1,8,0,1,4.0,2221
JWL-144,Diamond Cuff Bracelet,Bracelets,Cuffs,3299.99,Open cuff bracelet with diamond ends,White Gold,Diamond,1.0,18K,"{""inner_diameter_mm"": 55, ""opening_mm"": 25}",1,3,0,1,4.3,401
JWL-145,Wide Gold Cuff,Bracelets,Cuffs,1499.99,Wide polished gold cuff bracelet,Yellow Gold,None,0,14K,"{""width_mm"": 25, ""inner_diameter_mm"": 55}",1,5,1,1,4.1,4606
JWL-146,Hammered Silver Cuff,Bracelets,Cuffs,299.99,Artisan hammered silver cuff,Sterling Silver,None,0,925,"{""width_mm"": 20, ""inner_diameter_mm"": 58}",1,15,0,1,4.8,1566
JWL-147,Link Chain Bracelet,Bracelets,Chain,799.99,Classic link chain bracelet,Yellow Gold,None,0,14K,"{""length_inches"": 7.5, ""link_width_mm"": 5}",1,10,1,1,4.0,2969
JWL-148,Charm Bracelet Base,Bracelets,Chain,499.99,Chain bracelet base for adding charms,Sterling Silver,None,0,925,"{""length_inches"": 7}",1,20,1,1,4.2,1056
JWL-149,Paperclip Chain Bracelet,Bracelets,Chain,449.99,Trendy paperclip link bracelet,Yellow Gold,None,0,14K,"{""length_inches"": 7, ""link_width_mm"": 4}",1,15,0,1,4.4,533
JWL-150,Pearl Strand Bracelet,Bracelets,Chain,399.99,Single strand freshwater pearl bracelet,White Gold,Pearl,0,14K,"{""length_inches"": 7.5, ""pearl_diameter_mm"": 6}",1,12,0,1,4.0,732
JWL-151,Luxury Diamond Watch Mens,Watches,Luxury,8999.99,Mens luxury watch with diamond bezel,White Gold,Diamond,2.0,18K,"{""case_diameter_mm"": 42, ""band_width_mm"": 20}",1,2,0,1,4.2,905
JWL-152,Luxury Diamond Watch Womens,Watches,Luxury,7499.99,Womens luxury watch with diamond dial,White Gold,Diamond,1.5,18K,"{""case_diameter_mm"": 28, ""band_width_mm"": 14}",1,3,0,1,4.9,1782
JWL-153,Classic Gold Dress Watch,Watches,Fashion,2999.99,Elegant gold dress watch,Yellow Gold,None,0,14K,"{""case_diameter_mm"": 38, ""band_width_mm"": 18}",1,5,0,1,4.2,3302
JWL-154,Rose Gold Fashion Watch,Watches,Fashion,1499.99,Rose gold watch with mother of pearl dial,Rose Gold,None,0,14K,"{""case_diameter_mm"": 32, ""band_width_mm"": 16}",1,8,0,1,4.0,958
JWL-155,Diamond Bezel Sport Watch,Watches,Fashion,3499.99,Sport style watch with diamond bezel,Stainless Steel,Diamond,1.0,316L,"{""case_diameter_mm"": 40, ""band_width_mm"": 20}",1,4,0,1,4.1,266
JWL-156,Mens Signet Ring,Mens,Rings,899.99,Classic mens signet ring engravable,Yellow Gold,None,0,14K,"{""band_width_mm"": 12, ""top_diameter_mm"": 14}",1,10,1,1,4.1,4160
JWL-157,Mens Diamond Band,Mens,Rings,1499.99,Mens wedding band with channel set diamonds,White Gold,Diamond,0.5,14K,"{""band_width_mm"": 6}",1,8,0,1,4.7,1889
JWL-158,Mens Black Diamond Ring,Mens,Rings,1299.99,Bold mens ring with black diamonds,White Gold,Black Diamond,0.75,14K,"{""band_width_mm"": 8}",1,6,0,1,4.3,3309
JWL-159,Mens Onyx Ring,Mens,Rings,799.99,Classic mens ring with black onyx,Yellow Gold,Onyx,0,14K,"{""band_width_mm"": 10, ""stone_size_mm"": 12}",1,7,0,1,4.6,1428
JWL-160,Mens Cuban Link Chain,Mens,Chains,2499.99,Heavy Cuban link chain for men,Yellow Gold,None,0,14K,"{""chain_length_inches"": 24, ""chain_width_mm"": 8}",1,5,0,1,4.6,2680
JWL-161,Mens Figaro Chain,Mens,Chains,1799.99,Bold Figaro chain for men,Yellow Gold,None,0,14K,"{""chain_length_inches"": 22, ""chain_width_mm"": 6}",1,6,0,1,4.5,4746
JWL-162,Mens Rope Chain,Mens,Chains,1299.99,Classic rope chain for men,Yellow Gold,None,0,14K,"{""chain_length_inches"": 24, ""chain_width_mm"": 4}",1,8,0,1,4.4,3378
JWL-163,Mens Cross Pendant,Mens,Pendants,699.99,Mens cross pendant with diamond accent,White Gold,Diamond,0.1,14K,"{""pendant_height_mm"": 35}",1,10,0,1,4.7,3814
JWL-164,Diamond Cufflinks,Mens,Cufflinks,1299.99,Elegant diamond cufflinks,White Gold,Diamond,0.3,14K,"{""diameter_mm"": 15}",1,6,1,1,4.4,1720
JWL-165,Onyx Cufflinks,Mens,Cufflinks,499.99,Classic black onyx cufflinks,Sterling Silver,Onyx,0,925,"{""diameter_mm"": 14}",1,12,0,1,4.4,4022
JWL-166,Mother of Pearl Cufflinks,Mens,Cufflinks,399.99,Sophisticated mother of pearl cufflinks,Sterling Silver,Mother of Pearl,0,925,"{""diameter_mm"": 16}",1,10,0,1,4.8,4330
JWL-167,Gold Bar Cufflinks,Mens,Cufflinks,799.99,Modern gold bar style cufflinks,Yellow Gold,None,0,14K,"{""length_mm"": 20, ""width_mm"": 8}",1,8,1,1,4.8,1316
JWL-168,Mens ID Bracelet,Mens,Bracelets,699.99,Classic mens ID bracelet engravable,Sterling Silver,None,0,925,"{""length_inches"": 8.5, ""plate_length_mm"": 45}",1,10,1,1,4.4,4789
JWL-169,Mens Leather Bracelet Gold,Mens,Bracelets,399.99,Braided leather bracelet with gold clasp,Yellow Gold,None,0,14K,"{""length_inches"": 8}",1,15,0,1,4.2,970
JWL-170,Mens Link Bracelet,Mens,Bracelets,1499.99,Bold link bracelet for men,Yellow Gold,None,0,14K,"{""length_inches"": 8.5, ""link_width_mm"": 10}",1,6,0,1,4.1,684
JWL-171,Vintage Cameo Brooch,Brooches,Vintage,599.99,Antique style cameo brooch,Yellow Gold,Shell,0,14K,"{""height_mm"": 45, ""width_mm"": 35}",1,5,0,1,4.5,1057
JWL-172,Diamond Flower Brooch,Brooches,Fashion,1899.99,Elegant flower brooch with diamonds,White Gold,Diamond,1.0,18K,"{""diameter_mm"": 40}",1,4,0,1,4.0,2109
JWL-173,Pearl Cluster Brooch,Brooches,Fashion,799.99,Classic pearl cluster brooch,White Gold,Pearl,0,14K,"{""diameter_mm"": 35}",1,6,0,1,5.0,4168
JWL-174,Butterfly Brooch,Brooches,Fashion,999.99,Colorful butterfly with gemstones,Yellow Gold,Multi,0.5,14K,"{""wingspan_mm"": 50}",1,5,0,1,4.8,3281
JWL-175,Bow Brooch Diamond,Brooches,Fashion,1299.99,Elegant bow brooch with diamonds,White Gold,Diamond,0.5,14K,"{""width_mm"": 45}",1,4,0,1,4.2,140
JWL-176,Classic Tie Pin Diamond,Tie Accessories,Pins,399.99,Classic tie pin with diamond accent,White Gold,Diamond,0.05,14K,"{""length_mm"": 55}",1,12,0,1,4.2,3048
JWL-177,Gold Bar Tie Clip,Tie Accessories,Clips,299.99,Sleek gold tie clip,Yellow Gold,None,0,14K,"{""length_mm"": 50}",1,15,1,1,4.1,754
JWL-178,Onyx Tie Clip,Tie Accessories,Clips,249.99,Tie clip with black onyx inlay,Sterling Silver,Onyx,0,925,"{""length_mm"": 55}",1,18,0,1,4.1,4334
JWL-179,Diamond Anklet,Anklets,Fashion,599.99,Delicate diamond station anklet,White Gold,Diamond,0.2,14K,"{""length_inches"": 10}",1,10,0,1,4.6,984
JWL-180,Gold Chain Anklet,Anklets,Fashion,299.99,Simple gold chain anklet,Yellow Gold,None,0,14K,"{""length_inches"": 9.5}",1,20,0,1,4.9,361
JWL-181,Pearl Station Anklet,Anklets,Fashion,349.99,Anklet with freshwater pearls,White Gold,Pearl,0,14K,"{""length_inches"": 10}",1,12,0,1,4.7,1708
JWL-182,Charm Anklet,Anklets,Fashion,249.99,Gold anklet with small charms,Yellow Gold,None,0,14K,"{""length_inches"": 10}",1,15,0,1,4.7,892
JWL-183,Heart Charm,Charms,Love,149.99,Heart charm for bracelet,Yellow Gold,None,0,14K,"{""diameter_mm"": 10}",1,25,1,1,4.6,3575
JWL-184,Star Charm,Charms,Celestial,129.99,Star shaped charm,Rose Gold,None,0,14K,"{""diameter_mm"": 8}",1,30,0,1,4.8,233
JWL-185,Moon Charm,Charms,Celestial,139.99,Crescent moon charm with diamond,White Gold,Diamond,0.02,14K,"{""length_mm"": 12}",1,20,0,1,4.4,4786
JWL-186,Birthstone Charm January,Charms,Birthstone,179.99,January garnet birthstone charm,Yellow Gold,Garnet,0.2,14K,"{""diameter_mm"": 8}",1,15,0,1,4.3,2367
JWL-187,Dog Paw Charm,Charms,Animals,119.99,Cute dog paw print charm,Rose Gold,None,0,14K,"{""diameter_mm"": 10}",1,20,0,1,4.7,4498
JWL-188,Travel Airplane Charm,Charms,Travel,99.99,Airplane charm for travelers,Sterling Silver,None,0,925,"{""length_mm"": 15}",1,25,0,1,4.0,774
JWL-189,Vintage Pearl Set,Sets,Bridal,2499.99,Pearl necklace earrings and bracelet set,White Gold,Pearl,0,14K,"{""necklace_length_inches"": 18}",1,4,0,1,4.0,135
JWL-190,Diamond Bridal Set,Sets,Bridal,5999.99,Matching necklace and earrings with diamonds,White Gold,Diamond,2.0,18K,"{""necklace_length_inches"": 16}",1,2,0,1,4.1,3549
JWL-191,Mother Daughter Heart Set,Sets,Family,899.99,Matching mother daughter heart necklaces,Rose Gold,Diamond,0.1,14K,"{""chain_lengths_inches"": [16, 18]}",1,8,1,1,4.3,4462
JWL-192,Everyday Diamond Set,Sets,Fashion,1999.99,Diamond studs and pendant set,White Gold,Diamond,0.75,14K,"{""chain_length_inches"": 18}",1,6,0,1,4.3,2969
JWL-193,Rose Gold Stack Set,Sets,Fashion,1299.99,Set of 5 stackable rose gold rings,Rose Gold,Diamond,0.25,14K,"{""ring_sizes"": ""varies""}",1,5,0,1,4.5,315
JWL-194,Tennis Set,Sets,Fashion,8999.99,Diamond tennis necklace and bracelet set,White Gold,Diamond,8.0,18K,"{""necklace_length_inches"": 16}",1,2,0,1,4.1,3307
JWL-195,Body Chain Gold,Body Jewelry,Chains,599.99,Delicate body chain for special occasions,Yellow Gold,None,0,14K,"{""total_length_inches"": 36}",1,6,0,1,4.3,2270
JWL-196,Belly Button Ring Diamond,Body Jewelry,Piercings,299.99,Diamond belly button ring,White Gold,Diamond,0.1,14K,"{""bar_length_mm"": 10}",1,15,0,1,4.8,714
JWL-197,Nose Stud Diamond,Body Jewelry,Piercings,149.99,Tiny diamond nose stud,White Gold,Diamond,0.02,14K,"{""diameter_mm"": 2}",1,25,0,1,4.4,1822
JWL-198,Cartilage Hoop Gold,Body Jewelry,Piercings,99.99,Small gold hoop for cartilage,Yellow Gold,None,0,14K,"{""diameter_mm"": 6}",1,30,0,1,4.5,3461
JWL-199,Tragus Stud,Body Jewelry,Piercings,129.99,Small diamond tragus stud,White Gold,Diamond,0.03,14K,"{""post_length_mm"": 6}",1,20,0,1,4.3,4718
JWL-200,Helix Earring Set,Body Jewelry,Piercings,249.99,Set of 3 helix earrings,Rose Gold,Diamond,0.05,14K,"{""diameters_mm"": [6, 8, 10]}",1,12,0,1,4.4,948
